Symbol,casTLE_Effect,pvalue
Banf2,-2.1,0.475
Banp,-1.1,0.442
Bard1,2,0.271
Barhl1,0.6,0.577
Barhl2,-1.5,0.245
Barx1,-2.6,0.084
Basp1,-2.2,0.0692
Batf,1.9,0.169
Batf2,8,0.181
Bax,0,0.807
Baz1b,0,0.807
Baz2a,2.2,0.21
Baz2b,0,0.827
Bbc3,1.5,0.39
Bbof1,0,0.807
Bbox1,10.1,0.281
Bbs4,-0.2,0.667
Bbx,5.6,0.584
BC030499,-8.1,0.541
BC037034,0,0.807
BC052040,-3.5,0.00205
Bcar1,0.2,0.751
Bcas1,6.1,0.209
Bcas2,-1.1,0.442
Bcas3,0,0.807
Bcat1,1.6,0.367
Bcat2,-6.1,0.133
Bche,11.1,0.00851
Bckdk,3.5,0.0314
Bcl10,7.2,0.194
Bcl11a,0.3,0.655
Bcl2,-0.3,0.734
Bcl2a1b,6.9,0.135
Bcl2l1,0,0.807
Bcl2l10,-0.2,0.714
Bcl2l11,2.6,0.101
Bcl2l12,2.3,0.305
Bcl2l13,0,0.807
Bcl2l14,0.4,0.671
Bcl2l2,4.5,0.654
Bcl3,0.2,0.737
Bcl6,1.4,0.541
Bcl6b,-5.6,0.351
Bcl7a,-0.5,0.538
Bcl7b,2.1,0.278
Bcl9,0.9,0.416
Bcl9l,-5.1,0.202
Bcor,-0.5,0.639
Bcorl1,0.3,0.751
Bcr,-6.7,0.394
Bdh1,0,0.897
Bdkrb2,0,0.897
Bdnf,-0.7,0.476
Bdp1,1.9,0.509
Begain,0,0.897
Bex2,1.2,0.236
Bglap,0.5,0.707
Bglap2,0.8,0.743
Bglap3,7.4,0.279
Bhlha9,-2,0.252
Bhlhe22,1.7,0.177
Bhlhe23,0,0.827
Bhmt,4.3,0.0716
Bhmt2,-6.9,0.498
Bicc1,-1.2,0.524
Bicd1,-2.9,0.516
Bicra,-0.4,0.617
Bid,1.9,0.174
Bik,0,0.807
Bin3,0,0.807
Birc3,-4.7,0.043
Birc5,0,0.807
Bivm,10.5,0.207
Blk,-0.5,0.712
Blm,1.7,0.335
Blnk,-0.2,0.759
Bloc1s2,-0.2,0.705
Bloc1s3,-7.8,0.0218
Blvra,4.5,0.148
Blvrb,-0.2,0.804
Bmf,0,0.807
Bmp2,0.7,0.511
Bmp2k,0.8,0.803
Bmp4,5.3,0.153
Bmp7,0.9,0.472
Bmpr1a,-0.1,0.88
Bmpr1b,-0.3,0.833
Bmpr2,4.1,0.324
Bmx,2,0.444
Bnc1,-2.6,0.0393
Bnc2,9.9,0.0304
Bnip2,0,0.807
Bnip3l,-3.6,0.0344
Bod1,-10.2,0.00099
Bod1l,-0.6,0.619
Bok,0,0.807
Boll,-0.1,0.804
Bop1,0.1,0.813
Borcs8,1.2,0.429
Bpgm,-0.1,0.807
Bphl,-6.6,0.816
Bpi,13,0.0327
Bpnt1,0,0.807
Bptf,-1,0.539
Braf,7.4,0.316
Brat1,0,0.807
Brca1,0.9,0.549
Brcc3,0,0.807
Brd1,-0.7,0.404
Brd2,-1.9,0.313
Brd3,-4.5,0.222
Brd7,7.5,0.735
Brd9,-8.1,0.0122
Brdt,-0.3,0.827
Brf1,-5.3,0.0529
Brf2,0,0.827
Brip1,0,0.807
Brms1,3.4,0.199
Brms1l,0.6,0.609
Brsk1,-6.6,0.41
Brsk2,8.1,0.292
Brwd1,0,0.827
Bst1,1.2,0.525
Bsx,0,0.827
Btbd11,0.7,0.569
Btd,4.1,0.49
Btf3l4,1.9,0.235
Btg1,0,0.807
Btg2,4.5,0.168
Btg3,1.4,0.392
Btg4,0,0.807
Btk,2.8,0.378
Bub1,-0.2,0.851
Bves,0,0.807
Bysl,-0.3,0.747
Bzw2,-5.6,0.0942
C1qa,0,0.897
C1qb,0,0.897
C1qc,-5,0.143
C1ql1,-0.8,0.349
C1qtnf9,-4.9,0.0309
C1ra,0,0.897
C1rb,-0.3,0.822
C2cd4b,0,0.807
C3,3.1,0.259
C4b,-4.6,0.339
C7,3.8,0.124
C8g,8.7,0.133
Cab39,-0.6,0.62
Cables1,7.9,0.155
Cables2,-2,0.165
Cacna1a,2.5,0.408
Cacna1b,1.8,0.291
Cacna1c,-0.6,0.483
Cacna1d,1,0.357
Cacna1f,-0.9,0.413
Cacna1g,0,0.807
Cacna1h,0,0.807
Cacna1i,6.6,0.655
Cacna1s,0.2,0.88
Cacna2d1,0,0.897
Cacna2d2,0.7,0.692
Cacna2d3,-0.4,0.577
Cacnb1,-1,0.634
Cacnb2,2.1,0.263
Cacnb3,1.5,0.662
Cacnb4,-0.5,0.798
Cactin,0,0.827
Cacul1,3.9,0.129
Cacybp,0.6,0.534
Cadm1,8.2,0.132
Cadm4,0,0.807
Calcr,0,0.807
Calr,0.5,0.777
Caly,1.3,0.696
Camk1,0,0.897
Camk1d,0,0.897
Camk1g,4,0.374
Camk2a,0,0.897
Camk2b,6,0.725
Camk2d,-4.8,0.218
Camk2g,7.3,0.265
Camk2n1,0.6,0.7
Camk2n2,0,0.807
Camk4,-6.9,0.0246
Camkk1,-7.1,0.0397
Camkk2,-5.9,0.148
Camkv,-0.1,0.892
Caml,3.8,0.227
Camp,9.4,0.536
Camta2,-4.3,0.0965
Cant1,-0.5,0.558
Canx,-0.1,0.891
Capn1,7.7,0.232
Capn10,0,0.807
Capns1,4.8,0.346
Capns2,0.9,0.361
Car1,0,0.897
Car10,7.7,0.0361
Car11,3.1,0.262
Car12,-8.5,0.436
Car13,0,0.897
Car14,1.6,0.29
Car2,-7.4,0.183
Car3,0,0.897
Car4,-5,0.307
Car5a,3.4,0.466
Car5b,2.1,0.295
Car6,9.6,0.00918
Car7,0,0.897
Car8,8.8,0.0637
Car9,3.6,0.495
Card10,0,0.807
Card11,8.4,0.209
Card14,2.6,0.242
Card6,0,0.807
Card9,6.8,0.196
Carhsp1,0,0.827
Carm1,-0.3,0.642
Carmil1,0,0.807
Carmil2,-9.4,0.00174
Cars,-1.2,0.392
Cars2,-0.7,0.579
Cartpt,2.9,0.34
Cask,0.2,0.861
Caskin1,0,0.827
Casp1,1,0.395
Casp3,7.8,0.12
Casp4,1.3,0.323
Casp7,-0.6,0.634
Casp8ap2,3.1,0.252
Casr,0.1,0.897
Cast,9,0.33
Casz1,8.6,0.515
Cat,0,0.897
Cav1,0,0.807
Cavin3,-4.6,0.3
Cavin4,-0.8,0.594
Cbfa2t2,-0.8,0.523
Cbfa2t3,0,0.807
Cbfb,-3.4,0.0337
Cbl,7.1,0.648
Cbr1,5.7,0.73
Cbx4,0,0.807
Cc2d1a,-5.9,0.391
Ccar1,10.4,0.349
Ccar2,-0.6,0.481
Ccdc103,1,0.565
Ccdc155,0,0.827
Ccdc32,0.3,0.71
Ccdc59,-0.9,0.658
Ccdc6,-0.3,0.729
Ccdc81,-0.3,0.686
Cck,-3.6,0.0276
Cckar,0.2,0.834
Cckbr,0,0.807
Ccl21a,-5.9,0.00614
Ccl21b,-5.9,0.00614
Ccna1,0,0.807
Ccna2,0,0.807
Ccnb1,0,0.807
Ccnb1ip1,3.1,0.171
Ccnb2,-0.7,0.405
Ccnb3,0.6,0.592
Ccnc,-0.6,0.571
Ccnd1,0.3,0.651
Ccnd2,0,0.807
Ccnd3,6.3,0.229
Ccne1,1.5,0.377
Ccne2,4.9,0.699
Ccnf,1,0.526
Ccng1,-0.2,0.76
Ccng2,0,0.807
Ccnh,7.8,0.311
Ccni,0.9,0.44
Ccnj,0,0.807
Ccnk,0,0.807
Ccnl1,3.2,0.142
Ccnl2,0,0.827
Ccno,0.1,0.798
Ccnt1,-4.6,0.00161
Ccnt2,0,0.807
Ccny,0,0.807
Ccp110,-0.4,0.7
Ccpg1,-0.5,0.531
Ccr1,-0.1,0.789
Ccr5,-4.2,0.112
Cd109,0.6,0.494
Cd160,4.6,0.133
Cd180,-2.7,0.0726
Cd19,-1.6,0.158
Cd1d1,-0.4,0.796
Cd2,0,0.807
Cd209e,0.3,0.831
Cd247,-6.1,0.633
Cd27,0,0.807
Cd28,0.9,0.545
Cd2ap,0.9,0.545
Cd36,4.5,0.13
Cd38,0,0.807
Cd3d,2.2,0.538
Cd3e,1,0.664
Cd3g,0.8,0.767
Cd4,7.7,0.155
Cd40,-1.5,0.118
Cd40lg,0.6,0.572
Cd44,0,0.807
Cd46,10,0.615
Cd5,11.3,0.472
Cd52,9.6,0.114
Cd55,4.3,0.278
Cd55b,-4.3,0.229
Cd5l,0,0.807
Cd70,7.3,0.157
Cd79a,0,0.807
Cd80,0.9,0.601
Cd86,5.7,0.106
Cd9,1.5,0.4
Cda,0,0.897
Cdan1,5.4,0.112
Cdc14a,0,0.897
Cdc14b,-0.5,0.802
Cdc23,-1.2,0.392
Cdc25a,-8,0.0572
Cdc25b,3.8,0.412
Cdc25c,1.8,0.201
Cdc26,-1.1,0.442
Cdc34,-0.9,0.357
Cdc37l1,4,0.148
Cdc40,0.1,0.821
Cdc42bpa,-0.6,0.758
Cdc42bpb,0,0.897
Cdc42bpg,10,0.392
Cdc42se2,0,0.897
Cdc45,5.8,0.0656
Cdc5l,-3,0.0497
Cdc6,5.9,0.207
Cdca2,3.6,0.28
Cdca3,0.1,0.803
Cdca5,9.6,0.413
Cdca7,-3,0.207
Cdca7l,1.8,0.185
Cdh1,0.1,0.773
Cdh11,3.5,0.114
Cdh13,0,0.807
Cdh16,-9.8,7.90E-05
Cdh2,2.3,0.367
Cdh20,0,0.807
Cdh23,-4.2,0.0548
Cdh4,0,0.807
Cdh5,1.4,0.552
Cdip1,0,0.807
Cdk1,-1,0.627
Cdk10,0,0.897
Cdk11b,-0.3,0.792
Cdk12,-8,0.0599
Cdk14,-0.6,0.668
Cdk15,-4.9,0.279
Cdk16,4.3,0.29
Cdk18,2.5,0.09
Cdk19,-0.5,0.658
Cdk2,-5.3,0.536
Cdk2ap1,-0.2,0.685
Cdk4,-0.5,0.688
Cdk5,-8.1,0.324
Cdk5r1,-8.6,0.708
Cdk5r2,0.8,0.569
Cdk5rap2,0,0.807
Cdk7,-5.9,0.155
Cdk8,0,0.897
Cdkl1,-3.7,0.293
Cdkl2,0,0.897
Cdkl3,-0.4,0.679
Cdkl4,0,0.897
Cdkl5,-5,0.117
Cdkn1a,-5.1,0.596
Cdkn1b,5.4,0.54
Cdkn2a,1.8,0.303
Cdkn2aip,0.8,0.597
Cdkn2b,7.8,0.278
Cdkn2c,0.2,0.834
Cdkn2d,0,0.897
Cdkn3,-5,0.377
Cdo1,-7.4,0.396
Cdpf1,10.1,0.118
Cdr2,0,0.807
Cdt1,1.2,0.45
Cdx1,0,0.827
Cdx2,0,0.807
Cdx4,6.8,0.62
Ceacam1,3.1,0.654
Ceacam10,0,0.827
Ceacam16,0,0.827
Ceacam2,-0.3,0.714
Ceacam9,-4.2,0.0393
Cebpa,0.7,0.401
Cebpb,5.7,0.0363
Cebpe,3.9,0.4
Cebpg,-0.4,0.594
Cebpz,2.3,0.239
Cecr6,7.9,0.0835
Cel,0.5,0.818
Cela1,3.2,0.172
Cela2a,0.2,0.846
Celf2,-2.5,0.179
Celf3,-0.1,0.806
Celf4,-1.2,0.434
Celf5,-0.3,0.678
Cenpe,0,0.807
Cenpf,-2.3,0.13
Cenph,-0.7,0.709
Cenpk,-1.3,0.568
Cenpl,1.5,0.398
Cenpm,0.1,0.796
Cenpn,-0.8,0.534
Cenpq,0,0.807
Cenpt,1,0.554
Cenpv,0.5,0.461
Cep104,0,0.827
Cep128,0,0.807
Cep135,7.7,0.241
Cep152,-0.6,0.519
Cep192,0,0.807
Cep250,-0.1,0.803
Cep290,4.2,0.146
Cep350,1.4,0.339
Cep41,-0.2,0.736
Cep55,0.7,0.615
Cep57,0.6,0.626
Cep63,1.1,0.854
Cep68,-0.2,0.703
Cep70,0,0.807
Cep72,-0.2,0.72
Cep78,-3.9,0.0362
Cerk,-4.1,0.163
Cerkl,4,0.323
Ces1d,-3.9,0.262
Ces3a,10,0.13
Ces3b,-0.5,0.625
Ces5a,0,0.807
Cetn1,-2.1,0.0677
Cetn2,0,0.827
Cetn3,0.8,0.486
Cfb,11.1,0.0099
Cfd,-7.2,0.345
Cfdp1,0,0.807
Cfl1,0,0.897
Cfp,-2.8,0.0598
Cftr,0,0.897
Cga,2.3,0.172
Cggbp1,7.7,0.181
Cgref1,0,0.807
Cgrrf1,11.2,0.209
Chaf1a,0,0.807
Chaf1b,1.7,0.321
Champ1,3.6,0.0903
Chat,0.7,0.547
Chd1,-0.3,0.757
Chd1l,0,0.827
Chd9,-0.4,0.586
Chek2,0,0.897
Chfr,0.3,0.668
Chic2,-0.3,0.669
Chit1,4.5,0.331
Chka,1.9,0.636
Chkb,8,0.0814
