Gene_ID,Castle_Effect,Castle_Score,P_value
Zfp35,10.2,5.5,0.00179
Krtap8-1,-12.1,5.49,0.00477
Olfr475-ps1,9.7,5.49,0.00184
Uts2,6.3,5.49,0.00615
Ccdc148,-8.7,5.48,0.00481
Trappc2l,8.3,5.48,0.014
Gm21956,7.2,5.47,0.00485
Hgd,10,5.46,0.00232
Ppp2r3d,-10.9,5.46,0.00487
Arfgap1,11.6,5.44,0.0143
Gm21119,-5.8,5.42,0.00211
Ajuba,11.8,5.41,0.0133
Olfr448,-7.7,5.41,0.00615
Tnfrsf13b,-7.9,5.4,0.00615
Npy,-5.8,5.39,0.0136
Ighv2-9-1,-5.2,5.38,0.00514
Surf1,-6,5.38,0.0101
Zfp658,-4.5,5.38,0.00229
Plcg1,-3.8,5.36,0.014
Tm9sf1,10.5,5.36,0.0025
Gsta4,-4.1,5.34,0.0025
Nop56,-5,5.34,0.0232
Etfrf1,9.8,5.33,0.0152
Pla2g6,-4.8,5.33,0.0145
Atp5l,-4.6,5.32,0.00258
Dvl3,-3.9,5.3,0.0236
Atxn1l,-5.1,5.28,0.0103
Hnf4a,-7,5.28,0.015
Ighv14-1,7.3,5.26,0.00558
Trav12-2,-7.4,5.25,0.00561
Ap5b1,-3.5,5.24,0.0103
Cbx5,-4,5.24,0.00287
Gm11273,10.1,5.24,0.00565
Olfr1461,5,5.24,0.00313
Pdcl2,-2.2,5.24,0.0241
Zfp949,-4.9,5.24,0.00313
Amz1,-3.7,5.23,0.00289
Cmas,-8.9,5.23,0.00329
Dcdc2b,-8.1,5.23,0.0104
Sult2b1,-5.6,5.23,0.0156
Ampd2,-4.2,5.22,0.0156
Olfr1382,-6.9,5.22,0.00572
Pla2g12a,9.8,5.22,0.0161
Zfp57,-3.7,5.22,0.0243
Pigq,3.2,5.21,0.0174
Tmed5,-6.6,5.21,0.0162
Borcs6,-5.7,5.18,0.0105
Calca,-5.1,5.18,0.00615
Igkv17-134,-8.3,5.18,0.00587
Lgals7,-5,5.17,0.00615
Pithd1,-7.5,5.15,0.0105
Plscr2,8.7,5.15,0.00378
Wee2,-4.8,5.15,0.0161
Fam219a,-7.4,5.14,0.0106
Gm21809,4,5.14,0.00602
Prps1,10.1,5.14,0.0162
Nudt3,-7.7,5.13,0.0106
Trav14n-3,-9.5,5.12,0.00611
Gm9885,-5.5,5.11,0.00616
Capza1,6.5,5.09,0.0174
Olfr686,-6.8,5.09,0.00421
Trrap,-9.2,5.09,0.00369
Gm17669,-10.9,5.07,0.00635
Akap2,-6.2,5.05,0.0168
Glra1,-7.8,5.04,0.00387
Mtss1l,-7,5.04,0.0108
Rasa1,-3.2,5.04,0.0169
Rdm1,10,5.04,0.0262
Eif2s2,-3.5,5.03,0.0263
Gm5082,8.1,5.03,0.00654
Il1rl1,-1.2,5.03,0.0184
Olfr1286,7.2,5.03,0.00462
Smpd5,-5.2,5.03,0.0108
Defb15,-11.2,5.02,0.00658
Tube1,-7.8,5.02,0.017
Pdcd5,-3.9,5,0.0171
Tsta3,-5.3,5,0.0171
Ndufaf4,-7.7,4.99,0.0186
Olfr54,8.3,4.99,0.00491
Ckap2l,-7.7,4.98,0.0109
Rps6ka2,7.9,4.98,0.0034
Zg16,-8.1,4.98,0.00662
ENSMUSG00000050959,-4.6,4.98,0.00498
1700119I11Rik,-6.3,4.97,0.00681
Ptrh1,9.6,4.97,0.0188
Stx1b,7.1,4.97,0.0188
Lemd1,8.7,4.96,0.00686
Gucy2c,-7.2,4.94,0.00421
Ugt1a8,-5.4,4.94,0.00695
Spn,-8.4,4.93,0.011
D230025D16Rik,10.5,4.92,0.0194
B3galnt1,-2.5,4.91,0.0277
Uqcr11,8.9,4.91,0.0176
Steap4,-6,4.9,0.00707
Coa5,-7.5,4.89,0.0197
Tsacc,-5.2,4.89,0.0111
2010109A12Rik,8,4.88,0.00721
Olfr911-ps1,8.4,4.87,0.00611
Adam6a,-11.1,4.86,0.0062
Aqp2,-3.7,4.86,0.00372
Ddt,-6.4,4.85,0.0202
Krt19,-7.5,4.85,0.0202
Map3k12,-5.4,4.83,0.0288
Ercc5,8.8,4.81,0.0183
Ighv1-9,-6.3,4.81,0.00753
N4bp2l1,-4.9,4.81,0.0183
Hmgn5,8.3,4.79,0.00693
Nupr1l,-3.5,4.79,0.0075
Olfr1281,-7.5,4.79,0.00693
1700020N15Rik,-6.3,4.77,0.00714
Gm6812,-6.3,4.77,0.00714
Sbsn,-7.7,4.77,0.0075
Dennd4c,-1.7,4.76,0.0203
Dolpp1,-7.5,4.76,0.00497
Gm6509,-5.2,4.76,0.00726
Igkv17-121,-9.4,4.76,0.00782
Vmn1r60,-5.1,4.75,0.00737
ENSMUSG00000060559,-8.1,4.75,0.00788
Dcx,13,4.74,0.0188
Evx1,-5.6,4.74,0.0299
Mapk11,-3,4.73,0.0051
Mier1,-2.5,4.73,0.03
Defb13,4.2,4.72,0.00787
Trav12-3,6.3,4.72,0.00807
Bpi,11.7,4.7,0.00525
Gm9844,-2.7,4.7,0.00818
Dbp,-4.2,4.69,0.0191
Gm1968,9,4.69,0.00824
Mief1,10.7,4.69,0.0222
Tmem268,-8.2,4.69,0.0222
ENSMUSG00000072829,-4.6,4.69,0.00824
C130026L21Rik,5.6,4.68,0.00831
Upk2,-4.2,4.68,0.0192
ENSMUSG00000096368,-3.8,4.67,0.00859
Ssxb10,-9.6,4.65,0.0089
Tnnt2,-4.4,4.65,0.0194
Oas1h,-10.8,4.64,0.00906
Ugt1a2,-9.6,4.63,0.0195
Zscan18,9.9,4.63,0.00438
Gm10490,-3.8,4.62,0.00873
Gm5612,-8.5,4.62,0.00873
Krtap19-9a,6.5,4.62,0.00873
Mpp6,4.4,4.62,0.0232
Mup10,-5.7,4.62,0.00937
Phyhip,-7.5,4.61,0.0119
Acox3,9.8,4.59,0.0236
1500011B03Rik,-4.2,4.58,0.00907
BC005561,8.2,4.58,0.0103
Vegfa,9.1,4.58,0.0199
Agr2,-5.2,4.57,0.02
Lrrc74a,10.2,4.57,0.00916
4930504O13Rik,9,4.56,0.0107
Abcc6,-1.7,4.56,0.0221
Mup4,-5.8,4.56,0.0107
1700060C20Rik,-7.1,4.55,0.00935
Baz1a,-3.8,4.55,0.00462
Gm10153,-5.4,4.54,0.00942
Stk26,-6.4,4.54,0.00942
ENSMUSG00000028269,-13.4,4.54,0.00798
Trav14-3,-9.5,4.53,0.00951
Zswim6,8.6,4.53,0.0122
ENSMUSG00000096334,-3.6,4.53,0.0326
Hcst,-5,4.52,0.0204
Lrfn4,-2.7,4.52,0.0224
Olfr483,-3,4.52,0.0115
Vdac3-ps1,-3.8,4.52,0.0204
AF366264,9.6,4.51,0.012
Ankrd61,-10.6,4.51,0.00798
Gm20498,-11.2,4.51,0.0097
ENSMUSG00000092099,-4.7,4.51,0.0097
Fthl17a,-10.8,4.5,0.0126
Smad2,-7.5,4.5,0.0205
Tcfl5,-3.9,4.5,0.0329
Gm5640,-5,4.49,0.0127
Olfr199,-4.6,4.49,0.0127
Psmc6,-6.1,4.48,0.00488
Xpc,12,4.48,0.0207
ENSMUSG00000096266,-10.9,4.48,0.013
Deptor,-5.4,4.47,0.0333
Egflam,9.1,4.47,0.0208
F830045P16Rik,-10.8,4.47,0.0132
Keap1,11.8,4.47,0.0208
Rasl12,6.3,4.47,0.0254
Vmn1r230,-8.7,4.47,0.0132
Pacrg,7.8,4.46,0.0255
Dppa3,-7.5,4.45,0.0139
Mcu,10.5,4.45,0.0257
Rest,6,4.45,0.00499
Chpt1,5.5,4.44,0.0258
Taf3,-4.9,4.44,0.0337
Dhx40,-2.9,4.42,0.0339
Kbtbd2,-3.5,4.42,0.00513
Olfr1336,5,4.42,0.0148
Agrn,-4.3,4.41,0.034
Brd7,-3.1,4.41,0.034
Gm765,-7,4.41,0.0152
Gphb5,9.3,4.41,0.0126
Loxhd1,8.3,4.41,0.0111
Gm13941,7.4,4.4,0.0112
Isoc1,-5.9,4.4,0.0126
Krtap7-1,7.6,4.4,0.0126
Zbtb17,-8.9,4.4,0.0214
Bcl2a1b,-8.8,4.39,0.0214
Ifi202b,-2.9,4.39,0.0343
Serpinb3a,-4,4.39,0.00524
Slc17a4,7.4,4.39,0.0102
Gm8439,-5,4.38,0.0117
Gm9938,-6.9,4.38,0.0117
Zfp429,8.9,4.38,0.0159
Epb42,4.3,4.37,0.027
Fbxo30,-4.2,4.36,0.00541
Gm21789,-5.6,4.36,0.012
Serpinb6d,-4,4.36,0.012
Tspoap1,5.9,4.36,0.0272
Olfr43,-13.2,4.35,0.0115
Ttc19,11.4,4.34,0.0275
Clip1,5.2,4.33,0.0276
Ces2d-ps,7.6,4.32,0.0129
Fam122a,-7.4,4.32,0.0129
Med9,-5.3,4.32,0.0353
Neu1,-3.7,4.32,0.00735
Gm26657,-10.8,4.31,0.0132
2700081O15Rik,-8,4.3,0.013
ENSMUSG00000078169,9.5,4.29,0.0136
ENSMUSG00000092113,-8.2,4.29,0.0115
Amfr,6.4,4.28,0.0225
Ermn,-13.2,4.28,0.0119
Gm9848,-9.5,4.28,0.0138
Npepps,-3.3,4.28,0.00587
Upf3a,-3.2,4.28,0.036
Aco2,-3.3,4.27,0.0226
Il21,-13.2,4.26,0.0133
Shprh,7.4,4.26,0.0227
Vmn2r113,-8.1,4.26,0.0142
Aaas,8.8,4.25,0.0289
C1qtnf9,-6.3,4.25,0.0228
Syt7,-3.6,4.25,0.00602
Tspear,-2.5,4.25,0.0228
Angel1,-2.4,4.24,0.0229
Aph1c,-5.9,4.24,0.0188
Irx1,-3.3,4.24,0.0366
Kif2a,12.3,4.24,0.0229
Med31,-3.4,4.24,0.0366
Ms4a2,-7.3,4.24,0.00793
9430015G10Rik,-2.6,4.23,0.0229
AY761185,-3.9,4.23,0.0147
Ccdc105,7.8,4.23,0.0133
Ceacam10,-4.7,4.22,0.0369
Gm21973,9.3,4.22,0.0148
H2al3,-4.6,4.22,0.0148
Nxf7,-5.6,4.22,0.0192
Stk16,-4.3,4.22,0.0135
Syf2,-8.7,4.22,0.023
Sync,6.7,4.22,0.00806
Cyb561d2,-2.6,4.21,0.0257
Gm5546,-9.4,4.21,0.015
Rpl35a,9,4.21,0.0297
Eva1b,-1.1,4.2,0.0258
Gm5936,-8.3,4.2,0.0195
Maats1,-7.4,4.19,0.0301
Pla2g10,-2.1,4.19,0.0375
Nrarp,-3.2,4.18,0.0376
Rad9b,8.6,4.18,0.0233
Speer4f2,-6,4.17,0.0157
Srsx,-5,4.17,0.0157
Cggbp1,-3.7,4.16,0.038
Ctla2a,-8.7,4.16,0.0201
L1td1,-10.9,4.16,0.0201
Gem,-7.6,4.15,0.0139
Gm10300,9.8,4.15,0.016
Kptn,-8.8,4.15,0.0308
Ntn1,-2.7,4.15,0.0382
Col4a3bp,-4.1,4.14,0.00658
Gm19402,4.7,4.14,0.0147
Gm6614,-5.5,4.14,0.0204
Rdh16,10.3,4.14,0.031
AU015836,7.3,4.13,0.0162
3110082I17Rik,-7.6,4.12,0.0237
Cic,-2.8,4.12,0.0237
Gm3002,-6.2,4.12,0.0164
Olfr596,-2.7,4.12,0.0209
Olfr810,-8.2,4.12,0.0147
Slc35f2,-1.2,4.12,0.0269
Spry4,2.7,4.12,0.0269
Vps37a,-4.1,4.12,0.00669
Caln1,-10.8,4.11,0.0151
Gm2000,-6.2,4.11,0.0166
Grifin,4.9,4.1,0.0212
Mtmr9,9,4.1,0.00901
Slc27a5,-3.3,4.1,0.039
ENSMUSG00000032203,10.9,4.1,0.0319
Arl6ip5,9.8,4.09,0.0321
Sult1e1,-11.4,4.09,0.0142
Far1,10.6,4.08,0.0323
Olfr583,5.7,4.08,0.0215
Ehf,-2.6,4.07,0.0395
Rprm,8.4,4.07,0.0241
Gm11756,-6.3,4.06,0.0175
Olfr615,7.8,4.06,0.0218
Sprr2g,-11.4,4.06,0.0143
Txlng,-5.4,4.06,0.0242
Vmn1r61,9.9,4.06,0.0218
Dvl2,-2.9,4.05,0.0399
Eng,-2.2,4.05,0.0279
Gm5415,-7.9,4.05,0.022
Olfr203,-7.5,4.05,0.022
Olfr791,-13,4.05,0.0164
Psg26,-10.6,4.05,0.022
3110040N11Rik,-11.3,4.04,0.0144
Coprs,-11.3,4.04,0.0144
Gm20877,-8,4.04,0.0221
Gm3252,-6.1,4.03,0.018
Gm3629,-6.1,4.03,0.018
Igkv4-63,-5.2,4.03,0.018
Lipo1,7.8,4.03,0.0225
Bend7,-5,4.02,0.0174
Gm10338,-7.7,4.02,0.0228
Gm21974,-3.4,4.02,0.0182
Gm5795,-7.7,4.02,0.0228
Gm8730,-6.4,4.02,0.0182
Gnrh1,-3.8,4.01,0.0247
Lce1i,9.8,4.01,0.0184
ENSMUSG00000093451,10.4,4.01,0.023
Abraxas1,-5.2,4,0.0145
Rps23,-8.5,4,0.034
Otogl,-13,3.99,0.0186
Prg4,-6.5,3.99,0.0232
1810055G02Rik,2,3.98,0.0288
Has1,3.6,3.98,0.0288
Morn2,-5.3,3.97,0.0146
Cyb5r1,8.6,3.96,0.0103
Snw1,-6.3,3.96,0.0252
Boll,-3.7,3.95,0.0417
Gm8225,6.4,3.95,0.0198
Mpo,10.2,3.95,0.0253
Olfr498,5,3.95,0.0239
Rpl21-ps6,-4.5,3.95,0.0198
Ydjc,-6.3,3.95,0.0198
Cyp19a1,6.3,3.94,0.0253
Kcnj9,-12.9,3.94,0.0196
Cpne3,10.2,3.93,0.0354
Edrf1,-4.7,3.93,0.0202
Trav9-1,-3.8,3.93,0.0202
Trav9d-1,-3.8,3.93,0.0202
Zfp553,3.1,3.93,0.0421
Gm6605,-3.7,3.92,0.0205
Hcrtr1,-12.9,3.92,0.0205
Kcnma1,6.3,3.91,0.0108
Lmod2,9.9,3.91,0.0358
BC030500,-5.9,3.9,0.0211
Glrx3,-7.5,3.9,0.036
Mctp2,7.1,3.9,0.0209
Odf4,-12.9,3.9,0.0209
Ighv2-4,-4.9,3.89,0.0213
Spin2g,-11.7,3.89,0.0213
Csrnp2,-7.7,3.88,0.0151
Fam149a,-12.9,3.88,0.0213
Mmp15,-4.3,3.88,0.0259
Rpl13a-ps1,8.8,3.88,0.0216
B430218F22Rik,-3.7,3.87,0.0219
Clic5,-5.3,3.87,0.026
Eva1c,-12.9,3.87,0.0222
ENSMUSG00000070886,6.4,3.87,0.0219
Acsm1,-4.8,3.86,0.00844
ENSMUSG00000076464,7.2,3.86,0.0223
4930546C10Rik,-4.4,3.85,0.0225
Actl7a,-5.4,3.85,0.0371
Batf3,6.2,3.85,0.00852
Bzw2,-3,3.85,0.0435
Cask,6.1,3.85,0.0114
Drosha,-4.9,3.85,0.0435
Ighv14-3,7.8,3.84,0.0228
Soat1,-11,3.84,0.0153
C1qtnf4,-9.6,3.83,0.0153
Card19,2.2,3.83,0.0313
Olfr847,10,3.83,0.0248
Ube2v1,-6,3.83,0.00869
1700120B22Rik,-6.4,3.82,0.0233
Fuom,7.5,3.82,0.0154
M1ap,7.8,3.82,0.0154
Olfr714,-6.3,3.82,0.023
Tceal5,6.9,3.81,0.0443
Telo2,-10.2,3.81,0.0154
Trbv13-2,-11.6,3.81,0.0236
Adk,-6.8,3.8,0.012
Exoc3l2,-4,3.8,0.0155
Mtcp1,11.2,3.8,0.0383
Xab2,-5.9,3.8,0.0267
ENSMUSG00000074056,9,3.8,0.0239
Aff4,10.3,3.79,0.0268
Cd72,3.4,3.79,0.0321
Gm10256,7.6,3.79,0.025
Gm10352,7.6,3.79,0.025
Gm3376,7.6,3.79,0.025
Igkv4-57,-11.6,3.79,0.0242
Nap1l1,-7.1,3.79,0.0268
Pfas,-7.1,3.79,0.0121
Rtl9,-8.7,3.79,0.0268
Zbed3,-3,3.79,0.0447
Agpat3,-7.8,3.78,0.0122
Rpl10l,6.3,3.78,0.0122
Tmem106c,6.5,3.78,0.0388
Vsx1,-5.2,3.78,0.0449
Vti1b,-3.8,3.78,0.0092
Il16,-12.8,3.77,0.023
Snx18,9.5,3.77,0.0093
2410017I17Rik,-2.9,3.76,0.0252
Olfr102,5,3.76,0.0234
Acot5,-2.9,3.75,0.0253
Aoc3,7.6,3.75,0.0271
Trav14d-3-dv8,-8.2,3.75,0.0256
Gm3371,-5.7,3.74,0.026
Sh3bgrl3,-12.1,3.74,0.0161
Ybey,-5,3.74,0.0399
Wdfy4,-12.8,3.73,0.0243
4933411G06Rik,-5.1,3.72,0.0267
Vim,-4,3.72,0.0274
Zfp672,-3.6,3.72,0.0459
Mtrf1,-7,3.71,0.0407
Pcsk6,6.3,3.71,0.0275
Scaf4,6,3.71,0.0462
Sf3b2,-5.7,3.71,0.0275
9330151L19Rik,-11.4,3.7,0.0274
Adamtsl5,10.4,3.7,0.0276
Dsel,7,3.7,0.0256
Gm10553,6.7,3.7,0.0274
Hpn,-5.5,3.7,0.0133
Mageb18,-12.8,3.7,0.0256
Nucb1,-7.2,3.7,0.041
Snai3,10.2,3.7,0.041
Nfkb1,6.1,3.69,0.0278
Notch2,7.3,3.69,0.0278
Robo4,-12.7,3.69,0.026
BC049352,4.7,3.68,0.0258
Cuedc1,-4,3.68,0.0105
Lurap1l,-12.7,3.68,0.0278
Mrpl27,-7.3,3.68,0.0415
Plxnd1,6.2,3.68,0.0468
Sprr2b,-11.2,3.68,0.0165
Zfand5,-4,3.68,0.0105
4921508M14Rik,8.5,3.67,0.0284
Ccpg1os,-11.4,3.67,0.0284
Fhl1,5.6,3.67,0.028
Gabra2,6.7,3.67,0.0137
Ngb,4.7,3.67,0.0137
Syndig1l,-12.7,3.67,0.0283
Nkpd1,2.4,3.66,0.0345
Nkx2-5,-2.5,3.66,0.0471
Cyp4a32,-7.9,3.65,0.0139
Igfl3,-12.7,3.65,0.0283
Prlh,-5.2,3.65,0.0283
Setx,9.5,3.65,0.0281
Sarnp,-3,3.64,0.0475
Supt7l,-2.5,3.64,0.0475
Abr,8.8,3.63,0.0429
Plekhg3,-8.6,3.63,0.0429
Pls3,7.6,3.63,0.0283
Sema4d,8.9,3.63,0.0112
Snrpe,-5,3.63,0.0172
Tex44,-12.7,3.63,0.0292
Fbxl16,-3.7,3.62,0.0113
Fpr3,-11.2,3.62,0.0301
Gpam,10.4,3.62,0.0432
Rgs14,9.4,3.62,0.0432
ENSMUSG00000095219,-11.2,3.62,0.0301
Bbox1,7.7,3.61,0.0145
Mrgprb8,9,3.61,0.0262
B230364G03Rik,-3.2,3.6,0.0307
Gm13212,-2.8,3.6,0.0483
Nectin1,-1.5,3.6,0.0357
Olfr1377,9,3.6,0.0263
Olfr506,-9.5,3.6,0.0263
Olfr520,-2.6,3.6,0.0357
Rsad1,-6,3.6,0.0437
Ssxb5,-9.6,3.6,0.0263
Tnfrsf10b,-5.2,3.6,0.0287
Krtap19-4,6.9,3.59,0.0311
Med28,-2.4,3.59,0.0485
Meikin,-6.5,3.59,0.0175
Olfr952,-8.8,3.59,0.0263
Slc25a35,9.7,3.59,0.044
