Symbol,casTLE_Effect,pvalue
ENSMUSG00000095694,-5,0.00512
ENSMUSG00000095695,-5,0.00512
Mustn1,-6.5,0.00514
Trav12-2,-8.1,0.00519
Pmis2,-9,0.00523
Zfp523,-6.3,0.0053
11-Mar,-3.5,0.00531
Ccdc126,-7.2,0.00535
Olfr781,-8.2,0.00535
Smim1,-9,0.00535
Ctla2a,-7.4,0.00539
Nudt3,-6.6,0.00541
2700081O15Rik,-9.7,0.00542
Npy,-6.5,0.00545
Cntnap5b,-9.2,0.0055
Lce1i,6.4,0.00554
Cbr2,-4.2,0.00569
Gem,-6.8,0.00574
Vti1b,-3.6,0.0058
Olfr1382,-6.3,0.00581
Myo1b,4.7,0.00589
Sdhaf4,-8,0.00589
Rassf10,-9.8,0.00591
Alb,5.2,0.00594
Hnf4a,-8.7,0.00603
Gm6712,6.4,0.00605
Acot6,-7.1,0.00609
Cenpx,-11.9,0.0061
Gng5,-9.5,0.00617
Vmn1r55,-5.1,0.00621
Cfap97,-9.6,0.0063
Ssxb5,-6.7,0.0063
ENSMUSG00000094924,2.3,0.00638
Olfr102,5.3,0.00639
ENSMUSG00000092113,-5.5,0.00639
Fam219a,-4.9,0.00641
Pafah1b1,7.1,0.00644
Atad3a,6.7,0.00649
Ak9,6.5,0.00651
Cstl1,-8.2,0.00653
Ntmt1,-8,0.00658
Tgfbr1,-8.3,0.00667
Ccdc159,2,0.00668
Bcl6,-5.1,0.00677
Zfp595,-10.5,0.00678
A930009A15Rik,5,0.00685
Topaz1,-8.3,0.00685
Kbtbd2,-2.7,0.00691
Gm6526,4,0.00693
Srsf12,-7.5,0.00693
Cbfb,-4.4,0.00695
Gdf9,-6.5,0.00699
1700018B24Rik,5.6,0.00702
Dbp,-7.5,0.00711
Gm10530,-12.7,0.00711
Agr2,-5.7,0.00716
Ngf,3.4,0.00718
ENSMUSG00000094949,-3.9,0.00718
Tead2,-6.4,0.00725
Pramel3,-4.4,0.00727
Fmnl1,-5,0.00735
Spg20,-7.1,0.0074
Ccdc50,-7.3,0.00748
Pih1d3,-8.2,0.0075
Vmn1r230,-5.5,0.00755
Tex44,-7.9,0.00762
Ptprg,-8.5,0.00766
4921539E11Rik,-5.4,0.00772
Mup10,-2.9,0.00778
Npepps,-3.1,0.00781
Olfr916,-8.9,0.00781
Olfr325,1.5,0.00785
Gm21956,4.1,0.00786
Ostn,-4.1,0.00789
Rpa1,7,0.0079
Fbxl16,-3.5,0.00791
Ube2v1,-6.1,0.00791
D130058E05Rik,-8.6,0.00793
Tbc1d7,-3.1,0.00797
Ccdc174,-11,0.008
Vmn1r57,-5.3,0.00801
Vmn1r72,-3.4,0.00803
Gtsf1,-9.4,0.00807
Mmp15,-4,0.00808
Tnnt2,-5.3,0.00811
Cdk5,-7.7,0.00819
Mmp1b,-5.4,0.0082
Aph1c,-3,0.00828
Ms4a2,-9.6,0.00835
Specc1,-5.3,0.00835
Gm5885,3.9,0.00844
Sclt1,-9.5,0.00844
Grifin,4.1,0.00847
Psg26,-7,0.0085
Pdc,4.4,0.0086
Fthl17a,-8.1,0.00867
Samd14,-6.4,0.00867
Olfr1394,-3.9,0.00879
Scaf4,7.9,0.0088
Cd19,-3.8,0.00886
Rab38,5.5,0.00886
Gm14305,-7.3,0.0089
Lztr1,7,0.00894
Clec2g,-6.7,0.00902
Fam187b,-5.3,0.00909
Olfr1416,-7.6,0.00911
Pla2g2a,-9,0.00914
Gnat2,-9.8,0.00922
Sult1e1,-10.3,0.00922
Trpm7,-8.3,0.00923
Vps25,-11.8,0.00923
Mks1,-10.3,0.00931
Spink1,-10.3,0.00931
Telo2,-10.3,0.00931
3110040N11Rik,-10.2,0.00941
F830045P16Rik,-2.6,0.00945
Grcc10,-10.2,0.00946
Wac,-7.6,0.00952
Pfas,-9.5,0.00954
Ctsll3,5.6,0.00955
Stox2,-7.8,0.00956
Tnfrsf13b,-4.7,0.00958
Rasa1,-3.7,0.0096
Olfr1412,-5,0.00979
Olfr788,-7.9,0.00989
Vim,-3.6,0.00989
Zcchc18,-6.2,0.00993
Cyp2c65,-8.4,0.01
Rhox12,5.4,0.01
Ffar4,-3.5,0.0101
Igfl3,-7.2,0.0101
Tgm2,4.7,0.0101
Tsacc,-3,0.0101
Adamts5,5.1,0.0102
Pithd1,-7,0.0102
Sprr2b,-10.1,0.0102
Commd3,-9.7,0.0103
Speer4e,4.1,0.0103
1110059G10Rik,-7.2,0.0104
1700067P10Rik,-7.6,0.0104
A2ml1,-6.6,0.0104
Adnp,-6.7,0.0104
Bloc1s4,-6.6,0.0104
Gm1661,-7.5,0.0104
Gon7,-6.8,0.0104
Il23a,-6.6,0.0104
Mindy4,-6.8,0.0104
Parp6,-7.6,0.0104
Rnaseh2c,-7,0.0104
Snrpb2,-7,0.0104
Trav6d-7,4.8,0.0104
Trav6n-7,4.8,0.0104
Wdyhv1,-6.4,0.0104
Zfp931,-6,0.0104
Zfyve21,-7.1,0.0104
ENSMUSG00000044060,-6.9,0.0104
0610010F05Rik,-5.1,0.0105
0610030E20Rik,-9.3,0.0105
Cc2d2a,-5.6,0.0105
Dcaf12,-5.1,0.0105
Fam149b,-5.4,0.0105
Gimap3,-5.8,0.0105
Klhdc10,-5.2,0.0105
Snrpc,-5.7,0.0105
Borcs6,-5.4,0.0106
Cuedc1,-3.5,0.0106
Ttll5,6.3,0.0106
Jrk,-4.5,0.0107
Olfr328,-4.4,0.0107
Olfr691,-7.8,0.0107
Borcs5,-9.6,0.0108
Slc16a5,-9.6,0.0108
Plekhm1,-4.2,0.011
Tube1,-12.6,0.0111
A630001G21Rik,4,0.0112
Acsm1,-4.5,0.0113
Olfr5,3.2,0.0113
Pphln1,-4.1,0.0113
Phyhip,-7,0.0114
Zscan18,5.1,0.0114
ENSMUSG00000095882,4,0.0115
Gm10153,-6.2,0.0116
Gucy2c,-6.4,0.0116
Klhdc4,-10.3,0.0116
Mhrt,-7.3,0.0116
Olfr628,5.1,0.0116
ENSMUSG00000094339,-8.5,0.0116
ENSMUSG00000094816,-8.5,0.0116
ENSMUSG00000094909,-8.5,0.0116
ENSMUSG00000095441,-8.5,0.0116
ENSMUSG00000095733,-8.5,0.0116
ENSMUSG00000096234,-8.5,0.0116
ENSMUSG00000096548,-8.5,0.0116
C730034F03Rik,-6.7,0.0118
Magi3,5.9,0.0118
Zfp462,-6.3,0.0118
Ccr7,2.2,0.0119
Klrc1,2.3,0.012
Ints4,-10.3,0.0121
Dppa1,-2.9,0.0122
Gm16513,-8.4,0.0122
Gm3183,-8.4,0.0122
Lrrc51,-4,0.0122
Supt7l,-7.7,0.0122
2510046G10Rik,-9.7,0.0123
AI413582,-3.8,0.0124
Sstr2,-3.9,0.0124
2410004B18Rik,-2.3,0.0125
Nap1l2,-5.2,0.0125
Vsx1,-5.4,0.0125
4933406M09Rik,-9.2,0.0126
Gale,-10.6,0.0126
Naip2,4.8,0.0126
Olfr733,-7.5,0.0126
Psmc1,-10.8,0.0126
Slc25a4,3.6,0.0126
Asl,3.9,0.0127
Sprr2g,-10.2,0.0127
4930524J08Rik,6.3,0.0128
Abca9,4.6,0.0128
G6pdx,-10.7,0.0129
Gad1,-7.8,0.0129
Kcnj9,-6.7,0.0129
Kpna1,-7.4,0.0129
Nucb1,-7.6,0.0129
1700019A02Rik,-9.7,0.013
Cables2,-10.6,0.013
Ccdc25,2.3,0.013
Adk,-6,0.0131
Gm21789,-7,0.0131
Mapk1,-7.1,0.0131
Slc25a13,-8.5,0.0131
Gnas,4.8,0.0132
A530084C06Rik,4.4,0.0133
Rpl21,-9.6,0.0133
Syf2,-9.6,0.0133
Cln6,-3.1,0.0134
Ly96,-7.9,0.0134
1700041G16Rik,-6.6,0.0135
Raet1e,-3.5,0.0136
Tspear,-3.1,0.0136
ENSMUSG00000090522,-10.3,0.0136
Hadhb,4.7,0.0137
Il1rapl1,4.4,0.0137
Gm5174,-9.1,0.0138
Ugt1a2,-9.1,0.0138
5031425E22Rik,-9.7,0.014
Olfr506,-6.9,0.014
Sbsn,-2.1,0.014
Tmem40,-7.6,0.014
ENSMUSG00000092099,-8.7,0.014
Vhl,-6.2,0.0141
Gabra5,4.2,0.0142
Gm5269,4.7,0.0142
Tmem64,1.2,0.0142
A430089I19Rik,-7.8,0.0143
BC030500,-4.4,0.0143
Gm10424,-7.8,0.0143
Gm3147,-7.8,0.0143
Lce6a,-7.8,0.0144
1700021A07Rik,-5,0.0145
1700028P14Rik,6.1,0.0145
Gga1,-4.9,0.0146
Klk9,7,0.0146
Myom2,-4.7,0.0146
Prr15,-5,0.0146
Slc6a8,-8.8,0.0146
Frmd6,-4.9,0.0148
Gpr174,4.2,0.0148
Plod1,5.5,0.0148
Gm21977,-5.1,0.0149
Gm6164,-7.5,0.0149
Gm7929,-5.1,0.0149
Gm8068,-5.1,0.0149
Gm8082,-5.1,0.0149
Gm8653,-7.5,0.0149
Hao2,-10.7,0.0149
Sprr2d,-10.2,0.0149
Vmn1r117,-7.5,0.0149
Chtop,-3.7,0.015
Olfr1342,-3.7,0.015
Olfr539,-5.3,0.015
Olfr1214,-5.2,0.0151
Ssxb3,-7.2,0.0151
Defa24,-5.3,0.0152
Olfr266,-3.3,0.0152
Vmn1r107,-5.3,0.0152
Vmn1r155,-5.3,0.0152
Ccnt2,5.6,0.0153
Evi2a,-4.1,0.0153
Ighv1-19,-7.6,0.0153
Olfr1426,-3.3,0.0153
Slc39a8,2.1,0.0153
Snw1,-6.6,0.0153
Ccnf,-11.5,0.0154
Gng10,4.2,0.0154
Olfr1157,-3.6,0.0154
Prpf31,-3.4,0.0154
Sec24a,-3.2,0.0154
Ugt1a1,-9.1,0.0154
Washc2,-9.4,0.0154
Gm3002,-7.6,0.0155
Gm3252,-7.6,0.0155
Gm3629,-7.6,0.0155
Rtel1,-6.7,0.0156
Zbtb17,-8.6,0.0156
Adgrg6,3.3,0.0157
B020004J07Rik,3.5,0.0157
AY761185,-7.8,0.0158
Capza1,5.3,0.0158
Sp2,-5.3,0.0158
Wwtr1,-6.7,0.0158
ENSMUSG00000072829,-5.6,0.0158
Gm11756,-7.8,0.0159
Katnb1,4.3,0.0159
Elac1,-3.9,0.016
8-Mar,8.5,0.0161
Dynap,3.8,0.0162
Lcn11,-5.6,0.0162
C8g,4.2,0.0164
Poteg,2.9,0.0164
Taf3,-9.8,0.0164
Zdhhc9,-4.2,0.0164
Gm10668,-6.3,0.0165
Gm4567,-6.3,0.0165
Gm6592,-5.7,0.0165
Pgm1,5.7,0.0165
Tmem267,2.1,0.0165
Cdc5l,-9.5,0.0166
Ermn,-3.4,0.0166
Gm20865,-8.4,0.0166
Gm3127,-6.2,0.0166
Gm3685,-6.2,0.0166
Ndufa11,-10.7,0.0166
Scgb1b19,-6.2,0.0166
Cyp4a32,-8.5,0.0167
Gm2000,-7.9,0.0167
Ptprq,7.5,0.0167
Fam174b,4.3,0.0168
Gm5258,-7.8,0.0168
Mroh2b,-4.1,0.0168
Otol1,6.1,0.0168
Tmem88b,-7.2,0.0168
Ybey,-5.6,0.0168
Olfr1446,4.3,0.0169
Rrbp1,4.6,0.0169
Xlr3b,-4.6,0.0169
Gm9938,-2.7,0.0171
Olfr699,4.8,0.0171
ENSMUSG00000093411,-8.1,0.0171
Igkv2-112,3.9,0.0172
Ndufb2,-8,0.0172
Rsad1,-6.4,0.0172
Zbtb25,5.1,0.0172
Nsun5,-5.4,0.0173
Med9,-9.7,0.0174
Glra3,-7.6,0.0175
Gm20730,6,0.0175
Lmtk2,-6.3,0.0175
Wdr91,-5.9,0.0175
Ccnk,-9,0.0176
Olfr1173,-3.1,0.0176
Vmn1r235,-4,0.0176
Golga1,-3.7,0.0177
Nt5c,4,0.0177
Pds5a,-6.3,0.0177
S100b,5.1,0.0177
Trav8-1,5.9,0.0177
Trav8d-1,5.9,0.0177
Kat7,-8.5,0.0179
Phox2b,4.3,0.0179
Xlr,-4.6,0.0179
Coa5,-7.6,0.018
Higd2a,7,0.018
Sh2b3,3.6,0.018
E130114P18Rik,-4.6,0.0181
Sipa1l2,-6.4,0.0181
Commd8,-12,0.0182
Olfr70,-8.3,0.0182
Ak2,-11.8,0.0184
Clec4b2,-8.3,0.0184
Fgl1,-2.8,0.0184
Gm6169,4.2,0.0184
Ambn,-5.9,0.0185
C1qtnf4,-11,0.0185
Clic5,-4.6,0.0185
Olfr472,-8.7,0.0185
Baz1a,-3.7,0.0186
Tspyl2,-10.8,0.0186
Vwf,4.5,0.0186
Adam1b,-3.2,0.0187
Gm20826,4.7,0.0187
Gm21244,4.7,0.0187
Ifi27l2a,-4.6,0.0187
Ighv2-9-1,-2.9,0.0187
Stk26,-5,0.0187
Olfr138,4.6,0.0188
Xab2,-7.7,0.0188
BC051076,-13.7,0.0189
Mapkap1,-8,0.0189
Gm94,6.2,0.0191
Olfr1101,-3.2,0.0191
Olfr619,-3.7,0.0191
Atg14,-10.8,0.0192
Ppt1,4.2,0.0192
1700010B08Rik,4.6,0.0193
Gpd1l,-4.7,0.0193
Abhd15,-3.8,0.0194
Spn,-7,0.0194
Dcn,-3.2,0.0195
Endod1,1.3,0.0195
Mterf4,-9.5,0.0195
Srsx,-8.7,0.0195
Rbfox3,-3.7,0.0196
Smim11,-3.7,0.0196
Fbxo24,3.5,0.0197
Spin2g,-13.1,0.0199
Vamp3,3,0.0199
Gm648,-8.7,0.02
Lexm,-3.3,0.02
Ndufaf4,-7.8,0.02
Odf4,-4.9,0.02
Ppp2r2a,-9.7,0.02
Syt12,-7.3,0.02
Themis,-5.8,0.02
Synj2bp,-7.8,0.0201
Tm7sf3,1.2,0.0201
Atg9b,-2.9,0.0203
Agpat3,-7.7,0.0204
Naga,3.6,0.0204
Slc5a9,-4.8,0.0204
Entpd8,2,0.0205
Pink1,4.1,0.0206
Tmtc1,-3,0.0206
Gm26657,-6.9,0.0207
Armcx1,2.1,0.0208
Caln1,-3.8,0.0209
Eif2ak1,3.1,0.0209
Stx11,3.8,0.0209
Acvr2a,2.9,0.0211
Hs6st3,5.4,0.0211
Sbf1,3.7,0.0211
Sf3b2,-5,0.0211
Tcf3,-5.9,0.0211
Vars,-5.1,0.0211
Olfr682-ps1,5.8,0.0212
Scand1,-5.1,0.0212
Trav7n-4,3.7,0.0212
R3hdm4,-5.7,0.0213
Rxfp2,-4.7,0.0213
Wnt16,3.3,0.0213
B230364G03Rik,-6.7,0.0214
Gm10655,-10.1,0.0214
Piezo1,6.2,0.0214
Mblac1,-5.2,0.0216
Trbv13-2,-13,0.0216
Ankrd39,-4.7,0.0218
Gm10322,-5,0.0218
Mindy3,-4.6,0.0218
Nasp,5.9,0.0218
Slc26a1,9.7,0.0218
Syn2,-10,0.0218
Zic3,-2.5,0.0218
Fam221b,-5.1,0.0219
Sarnp,-4.8,0.0219
Ydjc,-5.4,0.0219
Bbox1,3.9,0.0221
Igkv4-57,-12.9,0.0221
Cyp2c54,-4.8,0.0223
Gm436,-3.5,0.0223
Rab40c,-2.9,0.0223
Slc15a1,-5.3,0.0224
Slc16a14,-3.9,0.0224
Ppig,-5.9,0.0225
Kcnk6,4.4,0.0226
1700010D01Rik,-10.7,0.0227
Gm28041,-8,0.0227
Ndufb4,-9.1,0.0228
Necab3,-7.2,0.0229
Gm10269,-8.6,0.0231
Nlrp2,-5.1,0.0231
Glrx3,-7.7,0.0232
Tmem14c,-5.6,0.0232
Zfp943,4.3,0.0232
Hax1,-4.1,0.0233
Hspb1,-6.9,0.0233
Nim1k,5.9,0.0233
Rngtt,-4.6,0.0233
Tmem268,-8.3,0.0234
Zfp385b,-9.2,0.0234
Lce1j,-9.6,0.0235
Trav4-4-dv10,-3.9,0.0235
Det1,-4.1,0.0237
Ctnnb1,-12.8,0.0238
Tmem74b,0.8,0.0238
Gm906,-4.1,0.0239
Serpinb9g,-8.2,0.0239
Svs2,-3.8,0.0239
Gm16181,-11.9,0.024
Map1lc3b,2.3,0.024
Nhs,-5,0.024
Zg16,-3.7,0.024
Ddx28,-6,0.0242
Maats1,-7.6,0.0242
Pin4,5,0.0242
Spata7,-6.9,0.0242
Syt9,-3,0.0242
2810407A14Rik,-9.8,0.0245
9330151L19Rik,-12.8,0.0245
Ighv5-6,4.3,0.0245
Rmdn3,6.8,0.0245
Slc38a1,0.7,0.0245
Dsn1,-3.5,0.0247
Hip1r,-3.4,0.0247
Met,3.2,0.0247
Ttl,-9,0.0247
ENSMUSG00000073455,-4.9,0.0247
ENSMUSG00000096487,-8.8,0.0247
Mmadhc,-7.6,0.025
Sdcbp,-4,0.025
Srcap,-7.1,0.025
3110082I17Rik,-6.2,0.0251
4932443I19Rik,-5,0.0252
Ccpg1os,-12.7,0.0252
Gm8257,-8.8,0.0252
Prrx2,-3.1,0.0253
B230317F23Rik,-7,0.0255
Ighv2-9,-7.4,0.0255
B3gat3,-6.2,0.0256
Card14,-8.6,0.0256
Ebf1,-5,0.0256
Olfr1377,-4,0.0256
Sec1,-8.1,0.0256
Trbv15,-6.9,0.0257
Cdpf1,4,0.0259
Gas2l2,-3.8,0.0259
Arf1,-8.3,0.026
Fbxl14,-3.4,0.026
Gm9833,-12.1,0.026
Tmem53,2,0.026
Trav4d-4,-3.8,0.026
Trav4n-4,-3.8,0.026
Fignl1,-13.9,0.0262
Gabre,5.7,0.0262
Gm3373,-4.5,0.0262
Ces2b,-3.7,0.0263
Nfam1,-3.4,0.0263
Clip1,6.2,0.0265
Snx3,5.8,0.0265
Trhr,-3.8,0.0265
Vps26a,-8.2,0.0265
Brms1l,7.9,0.0266
ENSMUSG00000052388,4.5,0.0266
1700010I14Rik,-5.7,0.0267
Eif2s2,-7.5,0.0267
Nrl,-5.1,0.0267
Slc25a39,-6,0.0267
Zmym5,-3,0.0267
Ccdc103,-4.7,0.0268
Gzmm,-2.1,0.0268
Gprc5a,5.7,0.0269
Tcfl5,-5.5,0.0269
Dhx30,7.7,0.027
Slc25a34,3.5,0.027
Psmg2,-7.1,0.0271
Inpp5k,-11.6,0.0272
Kcnn3,-6.5,0.0272
Ksr2,5.7,0.0274
Mbd4,-8.4,0.0275
Glycam1,-4.9,0.0276
Tas2r123,-3.4,0.0276
Neu1,-4.7,0.0279
Ankrd35,-3.3,0.028
Bcas2,5.8,0.0281
Gm3739,-7.6,0.0281
Gpr150,3,0.0281
Gsdma2,5.5,0.0281
Gm5591,-5,0.0283
Olfr876,-8,0.0283
Trim43b,-4.1,0.0283
Gm5830,5.2,0.0284
Irf8,3.3,0.0285
Kti12,-2.5,0.0285
Tmprss13,-4.4,0.0285
Zkscan3,-7.4,0.0285
Cib3,3.1,0.0286
Mak16,-9,0.0286
Nedd1,-4.4,0.0286
Pabpc4l,-4.8,0.0286
Plekhg2,-5.1,0.0286
Tmem217,1.3,0.0286
Tnxb,-7.6,0.0286
Cope,-5.4,0.0287
Evx1,-7,0.0287
Gdap1,-2.8,0.0288
Azi2,-7.6,0.0289
Chodl,-6.7,0.0289
Mylk,4.8,0.0289
Ndufa4l2,2.6,0.0289
Olfr502,-4,0.0289
Trem2,-4,0.0289
Stxbp5,-4.3,0.029
Stmn2,-2.6,0.0292
Trav5-1,-7.4,0.0292
Trav6-5,-9.5,0.0292
Trav6n-5,-9.5,0.0292
Thoc3,-9.5,0.0294
Dqx1,-7.2,0.0295
Tnnt1,-3.1,0.0295
Nop56,-5.1,0.0297
2700049A03Rik,-6.2,0.0299
Ubqlnl,-3.3,0.03
Afg1l,6.8,0.0301
Amph,-6.8,0.0301
Slc10a3,-3.3,0.0301
Cnot10,4.8,0.0303
Hba-a1,-8.2,0.0303
Hba-a2,-8.2,0.0303
Smim7,1.5,0.0303
4933436I01Rik,-3.3,0.0305
Mroh2a,-4,0.0305
Nlrp1b,4.2,0.0307
Tmod4,-7.1,0.0307
Ighv1-66,-10.2,0.0309
Pcdhb1,-4.3,0.031
Znrf2,-3.2,0.031
Cd180,-5,0.0311
Endog,4.2,0.0311
Zdhhc2,-2.6,0.0312
ENSMUSG00000053988,-6.4,0.0313
Folh1,-4.5,0.0314
Hes3,4.4,0.0315
Kptn,-8.9,0.0315
Ighv1-9,-5.6,0.0316
Myocd,4.3,0.0316
Tmprss9,-2.8,0.0316
Trav6-2,-7.6,0.0316
Trav9-1,-3.1,0.0316
Trav9d-1,-3.1,0.0316
Actl7a,-6.1,0.0318
Rps23,-8.7,0.0318
Zdhhc14,-4.4,0.0318
Pla2g6,-4.6,0.0319
Slc37a2,-3.2,0.032
F730035P03Rik,5.5,0.0321
Abcd4,-5.8,0.0323
Ikzf1,-4.2,0.0323
Fgg,2.8,0.0324
Irx1,-4.6,0.0324
Olfr713,-5.1,0.0324
Sar1a,-2.8,0.0324
Tmem192,2,0.0325
Ces1b,-7.9,0.0327
Gopc,-4.2,0.0327
Hcst,-5.8,0.0327
Olfr194,-4.1,0.0327
Olfr292,-3,0.0327
Vmn1r46,4.3,0.0327
Rmi2,-3.9,0.0328
4930556J24Rik,-7.3,0.0329
Deptor,-9.7,0.0329
Trav6-1,3.5,0.0329
Ctps,-5.5,0.033
Hoxc4,-5.4,0.033
Ppp3r1,-2.2,0.033
2510009E07Rik,-5.3,0.0331
Gm17018,-4.4,0.0331
Krtap7-1,-9.1,0.0331
Gnb3,8.6,0.0332
Plekhg3,-8.3,0.0332
Ccl21b,-4.4,0.0333
Gcnt1,-5.1,0.0333
Gm10591,-4.4,0.0333
Gm12394,-9.6,0.0333
Gm13304,-4.4,0.0333
Gm21541,-4.4,0.0333
Pdcd5,-5.9,0.0333
Ugp2,-11.1,0.0333
Defb15,-6,0.0335
Gm10320,-2.8,0.0335
Gm8237,5.5,0.0335
Mip,-5.1,0.0335
Rhbdl3,-2.9,0.0335
Tmed5,-7.3,0.0336
Tsn,-8.2,0.0337
Iqcf4,-5.3,0.0338
Izumo1r,-3.7,0.0338
Oas1c,-3,0.0338
Ghdc,-7,0.034
Adam29,-4.4,0.0341
Arpc5,4.8,0.0341
Gabra6,3.6,0.0341
Hgd,4.9,0.0341
Metap2,-5.6,0.0341
Tsen15,-4.6,0.0341
