Gene_ID,Castle_Effect,Castle_Score,P_value
Ajuba,8.6,9.58,0.00113
Ppp6r2,-3.4,9.56,0.00115
Gm11596,-8.3,9.45,0.0022
Keap1,7.9,9.41,0.00124
Nap1l2,-9,9.33,0.00131
Igkv17-127,-9.6,9.31,3.90E-05
ENSMUSG00000050431,-2.8,9.14,0.00239
Hcst,-3.1,9.12,0.00148
Nrf1,9.9,9.07,0.000535
Olfr810,-2.3,9.07,0.00242
Olfr714,-2.8,9.06,0.00243
Prlh,-2.6,9.05,0.00243
Taf5l,-5.3,9.05,0.00514
Ighv15-2,-10.1,9.02,6.60E-05
Adamtsl1,8,8.96,0.00163
ENSMUSG00000098753,-4.4,8.93,7.20E-05
Adgrf5,-7.9,8.82,0.00257
Pspn,-6.9,8.75,0.00081
Ndufb2,-4.2,8.74,0.00189
Nxpe4,7.7,8.73,0.00262
Sh2b3,4.5,8.73,0.00192
Nrarp,-4.8,8.6,0.00567
Calca,-2.3,8.45,0.00282
Olfr1281,-6.7,8.42,0.00111
Tnnt1,-7,8.2,0.00303
Carmil2,-9.7,8.14,0.00321
Nudt3,-6.9,8.08,0.00168
Gja1,-4.5,8.06,0.00348
1700021A07Rik,-8.7,8.02,0.000146
Nt5c,7.8,7.98,0.00216
Fam219a,-6.7,7.97,0.00202
Gpr45,3.2,7.95,0.00431
S100z,-7.2,7.93,0.00213
Dppa3,-4.7,7.91,0.00125
Morc3,-7.6,7.87,0.00227
Gm5082,6.5,7.81,0.000184
Olfr641,7.3,7.8,0.00372
9430015G10Rik,-4.1,7.77,0.00424
Zrsr2,-6.8,7.77,0.00424
Xlr,-5,7.75,0.0043
Cbr2,-6.6,7.68,0.00131
Ak9,9.6,7.65,0.00285
Hpd,7.9,7.55,0.00261
Szrd1,-7.2,7.52,0.00324
Dhx30,8,7.49,0.00196
Mzt1,-7.8,7.49,0.00332
Usp4,-4.1,7.48,0.00513
Scand1,-5.9,7.47,0.0078
Ddx54,-7.9,7.44,0.00527
Uqcc3,-10.1,7.42,0.000354
Vmn1r57,-7.2,7.42,0.00141
Clvs2,-6,7.4,0.00466
Psma5,-6.1,7.33,0.00819
Rasa1,-3.5,7.31,0.00579
Tnfrsf13b,-2,7.29,0.00478
ENSMUSG00000075032,-3.3,7.29,0.000401
Smad2,-7.4,7.28,0.00592
Tead2,-3.4,7.28,0.00592
Loxl1,8,7.24,0.00484
Borcs6,-5.4,7.22,0.00455
Pdk1,8,7.18,0.00305
Pld1,-3.1,7.15,0.00647
Tmsb15l,6.4,7.1,0.00151
A530084C06Rik,6.1,7.08,0.000534
Mief1,9.7,7.01,0.00292
Lrrc31,-11.3,6.99,0.000581
BC003965,-2.2,6.98,0.0074
Lrrc3b,7.7,6.98,0.0056
Lemd1,6.3,6.96,0.000592
Ugt1a2,-9.9,6.96,0.00738
Gm1968,6.8,6.91,0.000612
Hist1h2ag,-4.1,6.91,0.000487
Ptprt,9.2,6.89,0.00777
Olfr916,-8.6,6.88,0.00161
Csrnp2,-7.1,6.82,0.00578
Usf2,-2.5,6.8,0.00831
Ckap2l,-8.3,6.79,0.00585
Ssxb10,-7.1,6.77,0.00168
C1qtnf9,-4.3,6.76,0.0086
BC052040,-4.5,6.74,0.00873
Gm14305,-5.6,6.74,0.0107
Aco2,-4.1,6.73,0.00878
Synb,-1.1,6.73,0.00857
Bpi,6.8,6.71,0.00399
Akap2,-6.8,6.67,0.00911
Clcn2,7.7,6.67,0.00402
Dcdc2b,-6.9,6.67,0.0062
Defb23,6.8,6.67,0.00605
Gnat2,-8.6,6.66,0.00622
Kcnj9,-8.5,6.64,0.00608
Olfr364-ps1,-8.1,6.64,0.000774
Upk2,-4.3,6.64,0.00927
Arid3b,-5.1,6.63,0.0112
Sp2,-3.8,6.62,0.0113
Abcd4,-3,6.58,0.0096
Zscan18,8.6,6.58,0.000583
Igfl3,-8.2,6.56,0.00618
Tex44,-8.2,6.56,0.00618
Alb,8.8,6.54,0.0006
Npy,-6.3,6.54,0.00984
Gata3,-3.2,6.53,0.0099
Ankrd61,-5.8,6.51,0.00624
Ighv11-1,-2.8,6.49,0.000897
Fam149a,-7.8,6.48,0.00628
Borcs5,-7.7,6.47,0.00682
Igdcc4,3.6,6.46,0.01
Otogl,-4.2,6.46,0.00631
Olfr791,-4.3,6.45,0.00633
2700081O15Rik,-8.2,6.44,0.0069
Olfr287,-9.4,6.43,0.00636
Adnp,-5.9,6.4,0.0124
Sertad1,4.7,6.38,0.0125
Hmgcll1,-1.9,6.37,0.00648
Wac,-3.9,6.34,0.00655
Gpr139,7.9,6.32,0.0066
Lrfn3,-2.5,6.32,0.0109
Pla2g2e,8.6,6.32,0.0129
Cd19,-5.9,6.3,0.0114
Desi1,8,6.29,0.00437
Gm5415,-5.5,6.27,0.0023
Mtss1l,-6.5,6.27,0.0074
Srsf12,-5.3,6.25,0.00121
Ctla2a,-8,6.24,0.00237
Cbx5,-3.8,6.23,0.000892
Tspear,-4.6,6.23,0.0118
Gm20877,-5.7,6.22,0.00243
Tada1,-7.1,6.2,0.00446
Lrp5,6.4,6.18,0.0121
Cebpa,-4.1,6.17,0.0122
Dmbx1,6.9,6.16,0.014
Slc25a32,8.6,6.16,0.00559
Olfr1156,-4.5,6.15,0.00735
Rnf13,-5.7,6.13,0.0125
Adgrg6,3.7,6.11,0.00746
Fmnl1,-5.2,6.11,0.00296
Tmc2,-7.5,6.11,0.00746
Olfr1382,-6.3,6.08,0.00148
Abca9,6.1,6.07,0.0128
Igkv17-134,-9.7,6.06,0.00152
Rdm1,4.8,6.06,0.0149
Wee2,-5.5,6.05,0.013
Olfr781,-7.4,6.03,0.00779
ENSMUSG00000032203,9.2,6.02,0.00598
Gm11273,7.7,6.01,0.00162
Zg16,-1.8,5.98,0.00796
2010109A12Rik,6,5.97,0.00172
Phyhip,-7.4,5.97,0.0082
Smpdl3a,-7,5.97,0.0082
ENSMUSG00000095415,-9,5.97,0.00172
Ccdc28a,-5.5,5.95,0.00826
Ugt2b5,4.4,5.95,0.0135
Nkiras1,6.6,5.94,0.00624
Ugt1a1,-10.1,5.94,0.0135
Gm5258,-4.8,5.93,0.00183
Pdcd5,-4.9,5.93,0.0136
C2,-5.7,5.87,0.00105
Ermn,-8.7,5.86,0.00875
Gm21119,-4.6,5.86,0.0039
Rrp36,13.2,5.86,0.0165
Ssxb5,-7,5.86,0.0039
D630003M21Rik,-3.4,5.85,0.0088
Ccnt1,-3.1,5.84,0.0142
Angel1,-3.4,5.83,0.0142
Aldh3a1,4,5.82,0.005
Ntmt1,-9.4,5.82,0.00858
Tbc1d7,-4.1,5.82,0.00858
Gm4736,5.4,5.8,0.00225
Tmem88b,-8.6,5.8,0.00942
Cbfb,-3,5.79,0.0145
Ccdc38,-4.1,5.78,0.00977
Gm5885,6,5.78,0.00421
Tprn,-10.5,5.78,0.0087
Muc15,-1.3,5.77,0.0147
Muc3a,4.3,5.77,0.0146
Olfr449,-4.2,5.76,0.0112
Trak2,6.3,5.74,0.00702
Ccdc85a,-3.9,5.73,0.0124
Olfr733,-8.6,5.73,0.0124
ENSMUSG00000096266,-6,5.73,0.00441
Upf3a,-4,5.71,0.018
Cep112,-4.5,5.7,0.0134
Vsir,3.3,5.68,0.0157
Eri1,8.4,5.67,0.00731
Sult2b1,-5.4,5.67,0.0153
D3Ertd254e,3.8,5.66,0.0186
Fancg,7.3,5.64,0.0155
Amigo1,1.3,5.63,0.0162
Efcab1,-8.5,5.62,0.0172
Tmem159,-1.2,5.62,0.0162
Fam122a,-6.9,5.6,0.00916
Lztr1,3.6,5.6,0.0193
Aph1c,-2.5,5.59,0.00508
Atg7,-7.3,5.59,0.0159
Grin2a,-2.4,5.59,0.0159
1700020N15Rik,-6.6,5.58,0.00513
Gm6812,-6.6,5.58,0.00513
Nbea,-3.9,5.57,0.0197
Ccdc50,-7.4,5.56,0.00527
Trav12-2,-5.9,5.54,0.00294
Trav14n-3,-8.1,5.54,0.00294
4930447A16Rik,6.6,5.53,0.00296
Lcn11,-7.1,5.53,0.00549
Krtap4-16,-3,5.52,0.0225
Ccdc175,-3.7,5.51,0.023
4921539E11Rik,-5.7,5.5,0.0057
Gpr151,-3.7,5.5,0.0237
Nfkbid,-7.8,5.5,0.00942
Knop1,-4.1,5.49,0.00945
Olfr13,-3,5.49,0.0242
Vamp3,3.6,5.49,0.0166
Ccnf,-8.8,5.48,0.0167
Trav12d-1,-4.1,5.48,0.00309
Trav12n-1,-4.1,5.48,0.00309
Reg2,-2.9,5.47,0.025
Atp5l,-4.5,5.46,0.00161
Samd14,-7,5.46,0.00953
Cyhr1,1.3,5.45,0.0178
Dmac1,-1.2,5.45,0.0178
Gm21956,5.3,5.45,0.00317
Ocstamp,-3.8,5.45,0.0256
ENSMUSG00000059448,3.1,5.45,0.0178
Ifi209,-7.3,5.44,0.0171
Hoxc4,-4.7,5.43,0.0213
Ube2e3,-6.5,5.42,0.0172
Celf5,7.4,5.41,0.0215
Olfr536,-4.5,5.41,0.00688
ENSMUSG00000078169,7.3,5.41,0.00328
Ankrd29,-4,5.4,0.0276
Gm10338,-4.8,5.4,0.00701
Gm5795,-4.8,5.4,0.00701
Atad3a,5.4,5.39,0.0087
Hadhb,5.2,5.39,0.0174
F830045P16Rik,-7.1,5.38,0.00729
Focad,-1.4,5.38,0.0184
Gm9848,-10.9,5.38,0.00337
Rgs8,-3.6,5.38,0.0284
Zfp936,-7.1,5.38,0.00337
Gm973,-4.7,5.37,0.00974
Rpl10,-8.3,5.37,0.00883
Rpl7a,-9.1,5.36,0.00889
Tfeb,5.1,5.35,0.0176
Dpp6,3.9,5.34,0.00591
Far1,9.1,5.34,0.00902
Zfp595,-5.9,5.34,0.0225
Srgap1,-3.6,5.33,0.0299
Syf2,-8.3,5.33,0.0178
Wdfy4,-4.5,5.33,0.0299
Vdac3-ps1,-3,5.32,0.0179
Etfrf1,7.9,5.3,0.00924
Fthl17a,-8.4,5.3,0.00818
Pcdhb4,-9.9,5.3,0.00818
Sirt1,6.7,5.29,0.0181
Psg26,-7.3,5.28,0.00839
1700119I11Rik,-5.9,5.27,0.00374
B4galt7,1,5.27,0.0195
ENSMUSG00000028269,-7.5,5.27,0.032
Lrrc74a,7.8,5.25,0.00384
Serpini2,-2.7,5.25,0.0329
Laptm4b,3.4,5.24,0.0198
Tgfbr1,-5.3,5.24,0.0185
Lce1i,7.3,5.23,0.00401
D130058E05Rik,-8.4,5.22,0.00405
H1fx,-5.4,5.22,0.024
2410004P03Rik,-8.8,5.21,0.0342
Spn,-9.4,5.21,0.0101
Car12,6.8,5.19,0.00624
Gmfg,-3.8,5.19,0.0102
Tm9sf1,8.6,5.18,0.00174
Xab2,-7.1,5.18,0.0189
Capza1,6.2,5.17,0.0102
Slc17a4,7.3,5.17,0.0354
Ss18,-10.5,5.17,0.0189
Cdpf1,4.7,5.16,0.019
Dhx34,5.5,5.16,0.0248
Plek,13.1,5.16,0.0248
Ighv2-9-1,-6.4,5.15,0.00433
Dvl3,-3.5,5.14,0.025
Fam217a,-3.9,5.13,0.0368
Olfr372,-3.3,5.13,0.0368
Rpl21,-5.3,5.12,0.0253
Gm21142,-5.4,5.11,0.00453
Pdgfc,8,5.11,0.0376
Mpo,6.3,5.1,0.0194
Jam3,3.4,5.09,0.0213
Hspb1,-7.3,5.07,0.0196
Flvcr2,2.2,5.06,0.0217
Jph4,-6.5,5.05,0.0112
Trav14d-3-dv8,-6.9,5.05,0.00482
Zfp715,9.3,5.05,0.0262
Agr2,-3,5.04,0.0199
Olfr125,-3.8,5.03,0.0399
Spns2,-3.2,5.03,0.0399
Bod1,-10.1,5.02,0.0201
Dusp28,6.4,5.01,0.0268
Olfr1054,-4.2,5.01,0.0404
Smpd5,-5.3,5.01,0.0106
Grtp1,8.1,5,0.0115
E130114P18Rik,-7.1,4.98,0.00523
Pih1d3,-4.2,4.98,0.0415
Vgll1,-3.2,4.98,0.0272
Tmem236,-6.9,4.97,0.0417
Kcnip4,-3.2,4.96,0.0423
Rdh16,8.8,4.96,0.0119
Stx1b,6,4.96,0.0119
Gm4763,-9.7,4.94,0.00545
Rest,6,4.94,0.00194
Ankrd66,-4,4.92,0.0437
Fam162b,-3.7,4.92,0.0437
ENSMUSG00000074951,-3.6,4.92,0.0437
Gm5612,-9.2,4.91,0.00566
Gnrh1,-5.7,4.91,0.0209
Kbtbd2,-3.5,4.91,0.00199
Zkscan3,-4.8,4.91,0.0283
Krt80,-2.8,4.9,0.0447
Mtcp1,9,4.89,0.0127
Plod1,7.3,4.89,0.00715
Tcrg-V7,7,4.89,0.021
Atoh8,6.2,4.86,0.029
Ccdc159,3.3,4.86,0.024
ENSMUSG00000089672,-3.6,4.86,0.0464
Gng5,-9.1,4.85,0.0131
Fcnb,-3.6,4.83,0.0473
Gm9905,7.5,4.82,0.00633
Lpo,-7.4,4.82,0.0215
Hk1,4.1,4.81,0.00742
Specc1,-2.5,4.81,0.0216
Tgfb2,6.1,4.81,0.0216
Ccl28,-4.7,4.8,0.0478
Cox5a,4.6,4.8,0.00745
Olfr686,-8.3,4.8,0.0114
Olfr788,-8.4,4.8,0.0114
Robo2,-4.2,4.8,0.0217
Tmem200b,1.3,4.8,0.0247
Cstl1,-8.5,4.78,0.0483
Plagl2,-2.5,4.78,0.0218
Bend7,-1.7,4.77,0.0485
Cpne3,7.6,4.77,0.0137
Gfy,6.9,4.77,0.00681
Pafah1b1,6.9,4.77,0.0219
Abraxas1,-6,4.76,0.0113
Fam186b,-3.4,4.76,0.049
Atrn,3.2,4.75,0.0253
Gm17174,-4.8,4.75,0.0118
Nf1,3.9,4.75,0.0221
Uts2,6.7,4.75,0.0495
Gm13288,-5.2,4.74,0.0119
Gm13289,-5.2,4.74,0.0119
Gm13290,-5.2,4.74,0.0119
Ifnz,-5.2,4.74,0.0119
Sbsn,-1.6,4.74,0.05
ENSMUSG00000094376,-5.2,4.74,0.0119
ENSMUSG00000095694,-5.2,4.74,0.0119
ENSMUSG00000095695,-5.2,4.74,0.0119
Olfr1446,5.8,4.73,0.012
Stpg4,-4.4,4.72,0.0504
Zfp57,-3.2,4.72,0.031
Baz1a,-3.7,4.71,0.00224
Serpinb6d,-3.6,4.71,0.00737
Tmem144,1.4,4.71,0.0259
Tcf20,-7.1,4.7,0.0225
Zfp523,-2.2,4.7,0.0313
Abcf3,-3.7,4.69,0.0314
Krtap1-3,-8.4,4.69,0.0508
Xrcc1,-5.1,4.69,0.0226
Det1,-7.3,4.68,0.0227
Tspan3,-1.3,4.68,0.0263
Hoxc12,5.1,4.67,0.0317
D230025D16Rik,8,4.66,0.0149
Parvg,7.9,4.66,0.0149
Cnppd1,-1.1,4.65,0.0267
Gigyf1,5,4.65,0.023
Olfr1502,-3,4.65,0.0523
Tdrd9,-3.3,4.64,0.0321
Ankrd53,-4.8,4.63,0.0529
Gucy2c,-6,4.63,0.00798
Pdcl2,-2.9,4.63,0.0323
Serpina1c,-2.2,4.63,0.0117
Trav14-3,-8,4.63,0.00782
Aqp2,-3.7,4.62,0.00237
Olfr39,-3.2,4.62,0.0531
Slc25a35,8.4,4.62,0.0152
Tex38,-2.6,4.62,0.0531
Gsta4,-3.8,4.61,0.0133
Supt7l,-2.8,4.61,0.0326
Slc29a3,10.5,4.6,0.0328
Gm20498,-9.9,4.59,0.00806
Il16,-8.3,4.59,0.0539
1700060C20Rik,-5.3,4.58,0.0081
Cdhr5,-3.5,4.58,0.054
Dcaf12,-7.2,4.58,0.0118
Fam187b,-6.7,4.58,0.0136
Hes3,8.8,4.58,0.0331
ENSMUSG00000044060,-6.8,4.58,0.0118
Dhx40,-4.1,4.57,0.0333
Morn2,-3.2,4.57,0.0119
Olfr1394,-5.4,4.57,0.0138
Pla2g12a,6.6,4.57,0.0156
Srrt,7.8,4.57,0.0333
Vmn1r230,-5.7,4.57,0.0138
Krtap7-1,-9.6,4.55,0.0119
Map9,6.4,4.55,0.0239
Rasa3,4.9,4.55,0.0239
Treml1,-2.5,4.55,0.0543
Vmn1r55,-5.4,4.55,0.014
Lurap1l,-7.5,4.54,0.0544
Mnd1,6.4,4.54,0.0338
Pcbd1,-3.2,4.54,0.00832
Tnfrsf10b,-8.9,4.54,0.0239
Cfap97,-6.9,4.53,0.0084
Gem,-5.7,4.53,0.012
Gon7,-7.3,4.53,0.012
Olfr203,-3.5,4.53,0.0143
1700029H14Rik,-3.5,4.52,0.012
Mindy3,-7.3,4.52,0.012
Nup210l,3.6,4.52,0.0342
Stk16,-4.5,4.51,0.0121
Vmn1r235,-5.1,4.51,0.0145
Arfgap1,8.7,4.5,0.0163
Gm6526,5.3,4.5,0.00859
Tmem140,-3.4,4.5,0.0551
Vps25,-9,4.5,0.00849
Aaas,6.4,4.49,0.0164
Cd200r4,-2.4,4.48,0.0556
Smim1,-10.1,4.48,0.0122
Olfr355,-4.2,4.47,0.0558
Zfp931,-6.5,4.47,0.0122
Def6,-4.5,4.46,0.0247
Gm6509,-2.9,4.45,0.0154
Scmh1,-2.3,4.45,0.0297
Gm9938,-5.4,4.44,0.00904
Map1lc3b,4.3,4.44,0.00275
Trav4-4-dv10,-7.3,4.44,0.00904
Rnaseh2c,-7.5,4.43,0.0124
Slc25a39,-8.3,4.43,0.0168
Wdr70,7.4,4.43,0.025
Acot6,-7.3,4.42,0.0159
Eva1c,-7.6,4.42,0.0568
Gimap3,-7.5,4.42,0.0124
Igkv17-121,-8,4.42,0.00931
Snrpb2,-7.5,4.42,0.0124
Ttc19,8.6,4.42,0.0169
Zfp160,8.1,4.42,0.0361
Ccnk,-4.1,4.41,0.0252
Cdc42ep1,7,4.41,0.017
Gm28041,-8.2,4.41,0.00949
Mup4,-2.7,4.41,0.0161
Rnase12,-3.3,4.41,0.0569
BC030500,-4.3,4.4,0.00956
Clhc1,-7.6,4.4,0.0125
Fam69a,-2.3,4.4,0.0306
Fndc10,-2.7,4.4,0.0572
Olfr54,6.3,4.4,0.0163
Serpinb3a,-3.8,4.4,0.00283
Armcx6,-0.6,4.39,0.0308
Lyve1,-2.4,4.39,0.0573
Olfr720,-3.1,4.39,0.0573
Rem2,-3.4,4.39,0.0366
Nlrp2,-7,4.38,0.0255
Plscr2,7.4,4.38,0.0167
Scaf4,7.3,4.37,0.037
Smim8,-0.7,4.36,0.0313
1500015O10Rik,-4.2,4.35,0.0583
4930590J08Rik,-2.7,4.35,0.0583
Atxn1l,-4.7,4.35,0.0127
Lce6a,-7,4.35,0.0099
Zfp521,7.3,4.35,0.0257
1700001O22Rik,-3.6,4.34,0.0584
Adgrf4,-2.9,4.34,0.0584
Isoc1,-5.3,4.34,0.0127
Mfap5,-3.2,4.34,0.0584
Zfp35,8,4.34,0.0174
Zfp524,12,4.34,0.0376
Grk5,5.6,4.33,0.00929
ENSMUSG00000093451,8.6,4.33,0.0176
Dcx,6.8,4.32,0.0261
Stox2,-3.8,4.32,0.0586
Oas1h,-7.8,4.31,0.0179
Catsperb,-2.6,4.3,0.059
Olfr55,-2.7,4.3,0.059
Syt7,-3.4,4.3,0.00315
Fcrl1,-3.7,4.29,0.0591
Il20ra,3.2,4.29,0.0326
Mup10,-2.5,4.29,0.0183
Olfr420,-2.2,4.29,0.0591
Tmem145,0.9,4.29,0.0326
Srxn1,-4.4,4.27,0.0391
Fbxo30,-4.1,4.26,0.00349
Gm9885,-4.7,4.26,0.0107
Abr,6.1,4.25,0.0192
Gm6712,6.7,4.25,0.0107
Prrt1,-5.2,4.25,0.019
Sf3b2,-6,4.25,0.0268
Creb5,3.1,4.24,0.0397
Pbx2,7.1,4.24,0.0397
Tgm2,5.1,4.24,0.0269
Themis,-4.6,4.24,0.06
Dvl2,-3.9,4.23,0.0399
Rhox4e,-6,4.23,0.0194
ENSMUSG00000074056,5.9,4.23,0.0109
Card14,-9.6,4.22,0.0271
Col4a3bp,-3.9,4.22,0.0037
Grifin,5.7,4.22,0.0195
Vps26a,-8.1,4.22,0.0195
Psmg2,-4.9,4.21,0.0273
Vps37a,-3.9,4.21,0.00374
Col8a1,-5.3,4.2,0.0615
Cmas,-8.7,4.19,0.0101
Hgd,7.9,4.19,0.00381
Trim24,4.4,4.19,0.0275
Vmn1r237,-4.6,4.19,0.0622
Gria1,-7,4.18,0.0102
Hhip,-3.3,4.18,0.0622
Olfr195,-2.3,4.17,0.0627
Wdyhv1,-8,4.17,0.0138
Zik1,-4.2,4.17,0.0413
Armcx4,-2.2,4.16,0.0632
Ccl21b,-3.6,4.15,0.028
Gm10591,-3.6,4.15,0.028
Gm13304,-3.6,4.15,0.028
Gm21541,-3.6,4.15,0.028
Dchs1,2.4,4.14,0.0353
Elac1,-6.1,4.14,0.0139
Olfr323,-2.6,4.14,0.0638
Ucp2,-1.9,4.14,0.0281
Agpat3,-8.4,4.13,0.0105
Mmp1b,-5.8,4.13,0.0207
Olfr1414,-3.2,4.13,0.064
Sprr2b,-10.7,4.13,0.0139
Ildr2,-1.6,4.12,0.0357
Olfr43,-4.6,4.12,0.0641
Yipf7,-6.4,4.12,0.0641
Med31,-3.6,4.11,0.0427
Olfr809,-4.5,4.11,0.0209
Slamf8,-4.3,4.11,0.0642
Anks4b,-5,4.1,0.0643
Med13l,6.9,4.1,0.0429
Eif2s2,-3.1,4.09,0.0431
Il21,-4.2,4.09,0.0647
Map3k8,5.4,4.09,0.0431
Il1rl1,-1.2,4.08,0.0365
Pebp1,6.8,4.08,0.029
Rpa1,6.6,4.08,0.029
Umod,-2.3,4.08,0.029
AA386476,-2.6,4.07,0.0123
AI429214,-2.2,4.07,0.0654
Phox2b,3.9,4.07,0.0292
Steap4,-2.5,4.07,0.0654
Tax1bp3,3.4,4.07,0.0436
Acsm1,-4.7,4.06,0.00477
Fzd9,-0.6,4.06,0.0368
Olfr102,6,4.06,0.0658
Olfr524,8.1,4.06,0.0213
Phf11c,-8.2,4.06,0.0143
1700018B24Rik,5.6,4.05,0.0125
Ccdc148,-9.3,4.05,0.0125
Gtsf1,-10.3,4.04,0.0143
Ppp2r3d,-9.3,4.03,0.0127
Rrp15,7.7,4.03,0.0217
Tsacc,-2.6,4.03,0.0144
Acox3,7,4.02,0.0219
Cd22,2.5,4.02,0.0376
Lrit2,-2.7,4.02,0.0664
Abhd15,-6,4.01,0.0145
Gen1,7.1,4.01,0.0451
Olfr569,-2.3,4,0.0667
Sarnp,-2.6,4,0.0453
Zfyve19,-4,4,0.0302
1700019A02Rik,-9.7,3.99,0.0131
Olfr475-ps1,8,3.99,0.0218
Sfpq,-8.4,3.99,0.0304
Odf3l1,-2.3,3.98,0.067
Thtpa,-4.7,3.98,0.0306
Vmn2r113,-7.4,3.98,0.0132
Zscan22,9.3,3.98,0.0459
Cep76,-3.8,3.97,0.0307
Fam135b,6.8,3.97,0.0671
Magohb,-3.7,3.97,0.0461
Tgs1,-2.3,3.97,0.0461
Aqr,-4.6,3.96,0.0309
Golga1,-3.9,3.96,0.00525
Mllt6,7.1,3.96,0.0309
Adamts5,4.1,3.95,0.0311
Adk,-6.2,3.95,0.0116
Olfr539,-5.8,3.95,0.0222
Slc27a4,9.4,3.95,0.0467
Myocd,8.5,3.94,0.047
Nupr1l,-2.9,3.94,0.0679
Gm94,-2.7,3.93,0.068
Olfr1431,-8.8,3.93,0.0223
Ube2v1,-6.2,3.93,0.00557
4930430F08Rik,-6.8,3.92,0.0153
Itgad,-3.7,3.92,0.0683
Mier1,-3,3.92,0.0475
Nkain2,-4.8,3.92,0.0683
Ppp3cc,7.4,3.92,0.0118
Taf1a,-5,3.92,0.0316
Brinp3,-4,3.91,0.0684
Gdf9,-9,3.91,0.0154
Mrpl9,6.9,3.91,0.0235
1700120B22Rik,-6.9,3.9,0.0143
Adamts12,-5.1,3.9,0.032
Me1,-3.8,3.9,0.032
ENSMUSG00000072829,-5.5,3.9,0.0143
B3galnt1,-2.4,3.89,0.0483
Dnajc22,7.8,3.89,0.00586
Gng13,-5.1,3.89,0.069
Iqca,-4.5,3.89,0.069
ENSMUSG00000094339,-8.7,3.89,0.0226
ENSMUSG00000094816,-8.7,3.89,0.0226
ENSMUSG00000094909,-8.7,3.89,0.0226
ENSMUSG00000095441,-8.7,3.89,0.0226
ENSMUSG00000095733,-8.7,3.89,0.0226
ENSMUSG00000096234,-8.7,3.89,0.0226
ENSMUSG00000096548,-8.7,3.89,0.0226
Dolpp1,-7.7,3.88,0.0121
Krt28,-2.9,3.88,0.0692
Mettl7a1,7.3,3.88,0.024
Olfr691,-8.2,3.88,0.0692
Tmem8,-1.5,3.88,0.0404
Clec2g,-5.9,3.87,0.0228
Sult1e1,-10.8,3.87,0.0158
1110059G10Rik,-8.7,3.86,0.0174
Mapk12,2.5,3.86,0.0409
Nap1l1,-5.3,3.86,0.0327
Spty2d1,-6.9,3.86,0.0174
Zic3,-3.2,3.86,0.00602
Atf1,3.3,3.85,0.033
Bbox1,4,3.85,0.0124
Gm21789,-5.6,3.85,0.0152
Lgals3,-4.9,3.85,0.033
Nectin1,-0.8,3.85,0.041
ENSMUSG00000060559,-8.3,3.85,0.0152
Amfr,3.8,3.84,0.0332
Sp100,-7,3.84,0.0197
Trp53,2.9,3.84,0.0332
Celsr1,-2.9,3.83,0.0415
Ndn,-8.4,3.83,0.0334
