Gene_ID,Castle_Effect,Castle_Score,P_value
Syf2,-9.6,4.16,0.0133
Lexm,-3.3,4.14,0.02
Odf4,-4.9,4.14,0.02
Themis,-5.8,4.14,0.02
Arid3c,-9.3,4.13,0.0477
Olfr1394,-3.9,4.13,0.00879
Slc5a9,-4.8,4.13,0.0204
Trav6d-7,4.8,4.13,0.0104
Trav6n-7,4.8,4.13,0.0104
Caln1,-3.8,4.12,0.0209
Rxfp2,-4.7,4.11,0.0213
Tspear,-3.1,4.11,0.0136
Fam221b,-5.1,4.1,0.0219
Gucy2c,-6.4,4.1,0.0116
Eif3c,-6.1,4.09,0.0486
Hadhb,4.7,4.09,0.0137
Il1rapl1,4.4,4.09,0.0137
Samd14,-6.4,4.09,0.00867
Slc15a1,-5.3,4.09,0.0224
Slc16a14,-3.9,4.09,0.0224
Vti1b,-3.6,4.09,0.0058
Magi3,5.9,4.08,0.0118
Ugt1a2,-9.1,4.08,0.0138
Alb,5.2,4.07,0.00594
Bcorl1,-5.1,4.07,0.049
Nhs,-5,4.06,0.024
Zg16,-3.7,4.06,0.024
Vhl,-6.2,4.04,0.0141
ENSMUSG00000095882,4,4.04,0.0115
Gm10153,-6.2,4.03,0.0116
Mhrt,-7.3,4.03,0.0116
1700010I14Rik,-5.7,4.02,0.0267
Clec2g,-6.7,4.02,0.00902
Zfp385a,-2.4,4.02,0.0491
C730034F03Rik,-6.7,4.01,0.0118
Gpr150,3,4,0.0281
Chodl,-6.7,3.99,0.0289
Fam187b,-5.3,3.99,0.00909
Gale,-10.6,3.99,0.0126
Olfr502,-4,3.99,0.0289
Slc25a4,3.6,3.99,0.0126
Trem2,-4,3.99,0.0289
Lrrn2,1.1,3.98,0.05
Mroh2a,-4,3.97,0.0305
2510046G10Rik,-9.7,3.96,0.0123
Gad1,-7.8,3.96,0.0129
Kbtbd2,-2.7,3.96,0.00691
Olfr713,-5.1,3.95,0.0324
Zfp607b,-4.7,3.95,0.0517
Adk,-6,3.94,0.0131
Slc25a13,-8.5,3.94,0.0131
Tsen15,-4.6,3.94,0.0341
4930524J08Rik,6.3,3.93,0.0128
Klf2,6.9,3.93,0.0521
Olfr1054,-3.9,3.93,0.0354
Qrfp,-4,3.93,0.0354
Zfp706,-5.2,3.93,0.0521
Gnat2,-9.8,3.92,0.00922
Greb1l,5.6,3.92,0.0363
Mageb18,-3.2,3.92,0.0363
Sult1e1,-10.3,3.92,0.00922
Tmem236,-3,3.92,0.0363
ENSMUSG00000091294,-6.2,3.92,0.0523
1700019A02Rik,-9.7,3.91,0.013
Ly96,-7.9,3.91,0.0134
Gm21789,-7,3.9,0.0131
Il16,-4.5,3.9,0.0386
F830045P16Rik,-2.6,3.89,0.00945
Mks1,-10.3,3.89,0.00931
Olfr569,-4.1,3.89,0.0395
Spink1,-10.3,3.89,0.00931
Telo2,-10.3,3.89,0.00931
A530084C06Rik,4.4,3.88,0.0133
D630023F18Rik,-4.6,3.88,0.0403
Mxd3,4.2,3.88,0.0532
Borcs8,5.4,3.87,0.0534
Ccnt2,5.6,3.87,0.0153
Npepps,-3.1,3.87,0.00781
Setd5,1.7,3.87,0.0524
Snw1,-6.6,3.87,0.0153
1700041G16Rik,-6.6,3.86,0.0135
3110040N11Rik,-10.2,3.86,0.00941
Ccnf,-11.5,3.86,0.0154
CK137956,-3.1,3.86,0.0427
Ctsll3,5.6,3.86,0.00955
Fbxl16,-3.5,3.86,0.00791
Gng10,4.2,3.86,0.0154
Tmc2,-2.8,3.86,0.0427
Ube2v1,-6.1,3.86,0.00791
Ugt1a1,-9.1,3.86,0.0154
Col8a1,-4.9,3.85,0.0437
Nkpd1,2,3.85,0.0528
ENSMUSG00000090522,-10.3,3.85,0.0136
Slc4a7,-3.6,3.84,0.053
Gabra5,4.2,3.83,0.0142
Gin1,5.4,3.83,0.0543
Grcc10,-10.2,3.83,0.00946
5031425E22Rik,-9.7,3.82,0.014
Gm13212,-7.1,3.82,0.0546
Rtel1,-6.7,3.82,0.0156
Zbtb17,-8.6,3.82,0.0156
ENSMUSG00000092099,-8.7,3.82,0.014
B4galt7,-2.2,3.81,0.0538
Gm5269,4.7,3.81,0.0142
Olfr1014,-3.5,3.81,0.0483
BC030500,-4.4,3.8,0.0143
Coil,-4.8,3.8,0.0551
Kpna1,-7.4,3.8,0.0129
Lrtm1,-2.7,3.8,0.0494
Nucb1,-7.6,3.8,0.0129
Katnb1,4.3,3.79,0.0159
Lce6a,-7.8,3.79,0.0144
Pdc,4.4,3.79,0.0086
Slc6a8,-8.8,3.79,0.0146
Stpg3,5.8,3.79,0.0504
1700020A23Rik,-4.8,3.78,0.0513
1700021A07Rik,-5,3.78,0.0145
Olfr1412,-5,3.78,0.00979
Plod1,5.5,3.77,0.0148
Fam217a,-4,3.76,0.053
Hao2,-10.7,3.76,0.0149
Rabgap1l,1.4,3.76,0.0549
Cd200r4,-3.1,3.75,0.054
Olfr788,-7.9,3.75,0.00989
Cmtm6,1.8,3.74,0.0554
Med21,-5.2,3.74,0.0565
Efcab1,-5.8,3.73,0.056
Ighv1-19,-7.6,3.73,0.0153
Pgm1,5.7,3.73,0.0165
Gm3002,-7.6,3.72,0.0155
Gm3252,-7.6,3.72,0.0155
Gm3629,-7.6,3.72,0.0155
Stpg4,-4.1,3.72,0.0569
Washc2,-9.4,3.72,0.0154
Cdc5l,-9.5,3.71,0.0166
Eif3g,-5.3,3.71,0.0573
Olfr1086,-6.9,3.71,0.0578
Ssc5d,-4.7,3.71,0.0578
AY761185,-7.8,3.7,0.0158
Fgd2,-4.2,3.7,0.0575
Zcchc18,-6.2,3.7,0.00993
ENSMUSG00000072829,-5.6,3.7,0.0158
Gm11756,-7.8,3.69,0.0159
Hcrtr1,-5,3.69,0.0599
Rhox12,5.4,3.69,0.01
Cyp26c1,5.3,3.68,0.061
Dram2,2,3.68,0.057
Il1rl1,-3.5,3.66,0.0575
ENSMUSG00000074951,-7.1,3.66,0.063
4930590J08Rik,-5,3.65,0.0641
Drosha,-5.6,3.65,0.0588
Ffar4,-3.5,3.65,0.0101
Myom2,-4.7,3.65,0.0146
Ndufb2,-8,3.65,0.0172
Olfr39,-6.7,3.65,0.0641
Bambi,-5.5,3.64,0.0581
C8g,4.2,3.64,0.0164
Rnase12,-3,3.64,0.0653
Tmem45b,-5.6,3.64,0.0653
Trmt13,5.5,3.64,0.0591
Tsacc,-3,3.64,0.0101
Speer4e,4.1,3.63,0.0103
Ndufa11,-10.7,3.62,0.0166
Tmem178b,-5.4,3.62,0.0672
Wdr91,-5.9,3.62,0.0175
Zfp672,-5.3,3.62,0.0596
1700067P10Rik,-7.6,3.61,0.0104
Ccnk,-9,3.61,0.0176
Cyp4a32,-8.5,3.61,0.0167
Fam173b,-2.7,3.61,0.0589
Cuedc1,-3.5,3.6,0.0106
Gm2000,-7.9,3.6,0.0167
Olfr159,1.9,3.6,0.0592
Pds5a,-6.3,3.6,0.0177
Pithd1,-7,3.6,0.0102
Sprr2b,-10.1,3.6,0.0102
Gm5258,-7.8,3.59,0.0168
Tmem86b,1.4,3.59,0.0594
Commd3,-9.7,3.58,0.0103
Kat7,-8.5,3.58,0.0179
Mrgprx1,-3.8,3.58,0.0677
Phox2b,4.3,3.58,0.0179
Slc22a15,1.5,3.58,0.0597
Xlr,-4.6,3.58,0.0179
Capza1,5.3,3.57,0.0158
Cd8a,-5.6,3.57,0.0679
Gm9938,-2.7,3.57,0.0171
Sh2b3,3.6,3.57,0.018
Slc27a5,-5,3.57,0.061
Fam129c,-4.7,3.56,0.068
Sertad1,3.2,3.56,0.0613
Acsm1,-4.5,3.55,0.0113
Agrn,-4.5,3.55,0.0615
Dmrtc2,-5.2,3.55,0.0615
Glra3,-7.6,3.55,0.0175
Igkv2-112,3.9,3.55,0.0172
Lmtk2,-6.3,3.55,0.0175
Olfr323,-4.9,3.55,0.0681
Vgll3,6.1,3.55,0.0615
1110059G10Rik,-7.2,3.54,0.0104
Fyb2,-4.1,3.54,0.0682
Gm1661,-7.5,3.54,0.0104
Gon7,-6.8,3.54,0.0104
Mindy4,-6.8,3.54,0.0104
Nt5c,4,3.54,0.0177
Olfr810,-4.4,3.54,0.0682
Parp6,-7.6,3.54,0.0104
Rnaseh2c,-7,3.54,0.0104
Slc38a8,2,3.54,0.0608
Snrpb2,-7,3.54,0.0104
Zfyve21,-7.1,3.54,0.0104
Zscan18,5.1,3.54,0.0114
ENSMUSG00000044060,-6.9,3.54,0.0104
A2ml1,-6.6,3.53,0.0104
Bloc1s4,-6.6,3.53,0.0104
Gm20730,6,3.53,0.0175
Gpha2,-2.9,3.53,0.0683
Il23a,-6.6,3.53,0.0104
Wdyhv1,-6.4,3.53,0.0104
Zdhhc9,-4.2,3.53,0.0164
Clic5,-4.6,3.52,0.0185
Commd8,-12,3.51,0.0182
F2rl3,0.6,3.51,0.0617
Trav8-1,5.9,3.51,0.0177
Trav8d-1,5.9,3.51,0.0177
Tspyl2,-10.8,3.51,0.0186
Vwf,4.5,3.51,0.0186
Zfp931,-6,3.51,0.0104
Asxl1,5.6,3.5,0.0629
Ybey,-5.6,3.5,0.0168
0610030E20Rik,-9.3,3.49,0.0105
Ak2,-11.8,3.49,0.0184
Gimap3,-5.8,3.49,0.0105
Ly6g5c,0.7,3.49,0.0623
Snrpc,-5.7,3.49,0.0105
Tmem175,-2.3,3.49,0.0623
Xab2,-7.7,3.49,0.0188
Cc2d2a,-5.6,3.48,0.0105
E130114P18Rik,-4.6,3.48,0.0181
Fam149b,-5.4,3.48,0.0105
Slamf8,-3.9,3.48,0.0689
0610010F05Rik,-5.1,3.47,0.0105
Ankrd66,-5.8,3.47,0.0691
Dcaf12,-5.1,3.47,0.0105
Klhdc10,-5.2,3.47,0.0105
Rsad1,-6.4,3.47,0.0172
Zfp966,-8.1,3.47,0.0638
Zfp967,-8.1,3.47,0.0638
Atg14,-10.8,3.46,0.0192
Cd99l2,-4.6,3.46,0.0632
Gm6169,4.2,3.46,0.0184
Mapkap1,-8,3.46,0.0189
Nhlh2,-4.2,3.46,0.0641
Arid5b,-6.7,3.45,0.0644
Olfr472,-8.7,3.45,0.0185
Dcn,-3.2,3.44,0.0195
Ppt1,4.2,3.44,0.0192
Ighv2-9-1,-2.9,3.43,0.0187
Stk26,-5,3.43,0.0187
A630001G21Rik,4,3.42,0.0112
BC051076,-13.7,3.42,0.0189
Borcs6,-5.4,3.42,0.0106
Coa5,-7.6,3.42,0.018
Fbxo24,3.5,3.42,0.0197
Higd2a,7,3.42,0.018
Slc17a9,-3,3.42,0.0699
Tex28,4.7,3.42,0.0699
Tpbgl,0.7,3.42,0.0644
Jrk,-4.5,3.41,0.0107
Mia2,1.5,3.41,0.0647
Olfr5,3.2,3.41,0.0113
Vamp3,3,3.41,0.0199
Krtap16-1,-4.4,3.4,0.0703
1700010B08Rik,4.6,3.39,0.0193
Cln6,-3.1,3.39,0.0134
Ntn1,-3.5,3.39,0.0661
Ppp2r2a,-9.7,3.39,0.02
Ccr2,-2.8,3.38,0.0657
Trmt10a,-4.6,3.38,0.0664
Mterf4,-9.5,3.37,0.0195
Srsx,-8.7,3.37,0.0195
Agpat3,-7.7,3.36,0.0204
Borcs5,-9.6,3.36,0.0108
Efcab9,-4.5,3.36,0.0709
Naga,3.6,3.36,0.0204
Tmem161b,-2.7,3.36,0.0663
Pink1,4.1,3.35,0.0206
Spin2g,-13.1,3.35,0.0199
Basp1,6.8,3.34,0.0677
Gm648,-8.7,3.34,0.02
Hs6st3,5.4,3.34,0.0211
Olfr628,5.1,3.34,0.0116
