Gene_ID,Castle_Effect,Castle_Score,P_value
9430015G10Rik,-3.9,7.97,0.00474
Agr2,-3.5,7.94,0.00484
Fthl17a,-7.9,7.92,0.00121
Uqcc3,-10.2,7.92,0.000101
Adgrf5,-7.7,7.91,0.00601
Pla2g2e,8.3,7.91,0.0117
Cxcl1,-4.6,7.87,0.00504
Dmbx1,7.9,7.87,0.0119
Zrsr2,-4.4,7.86,0.00508
Aco2,-5.7,7.76,0.00541
Kcnk6,7.6,7.71,0.00445
Ccnt1,-4.1,7.68,0.0057
Rpa1,6.2,7.66,0.00577
Tspear,-4.4,7.66,0.00577
Adamts5,3.7,7.63,0.00587
Uts2,6.3,7.62,0.00617
Gm14305,-5.5,7.59,0.0129
Pdcd5,-4.5,7.58,0.00608
Rpl10,-7.4,7.58,0.00535
Olfr1382,-7.6,7.57,0.00016
Gja1,-3.6,7.55,0.0062
Adgrg6,3.9,7.47,0.00626
Angel1,-3.6,7.45,0.00658
Ifi209,-6.7,7.45,0.00658
Med13,-3,7.45,0.0135
Armcx1,-1.3,7.44,0.00512
Hadhb,3.7,7.4,0.00679
Tmsb15l,6.3,7.4,0.00142
Grk5,4.6,7.38,0.00482
Steap4,-2.9,7.37,0.00632
Trpv4,1.7,7.35,0.00535
Grin2a,-2.7,7.33,0.00711
Rapgef3,-6,7.33,0.0141
Carmil2,-11.2,7.3,0.00724
Arid3b,-5.1,7.29,0.0143
Clvs2,-6,7.29,0.00635
Card14,-7.3,7.25,0.00747
Rnf13,-4.5,7.21,0.00765
Zik1,-4.8,7.15,0.015
Lemd1,5.7,7.11,0.000322
Car12,6.9,7.05,0.00516
Gm1968,5.8,7.05,0.000367
Atoh8,7.4,7.04,0.0157
Hnf4a,-5.7,6.99,0.00865
ENSMUSG00000092113,-1.9,6.99,0.00658
Olfr641,6.4,6.98,0.00658
Ndufb2,-3.6,6.97,0.00874
Dvl3,-3.7,6.94,0.0163
Hes3,8.7,6.93,0.0164
Gm5885,6.1,6.91,0.00177
Syt12,-7.2,6.86,0.0078
Prlh,-2.5,6.85,0.00667
Arel1,7.9,6.84,0.000591
Mustn1,-7.2,6.84,0.000944
Lama5,-3.7,6.81,0.0096
Slc29a3,8.6,6.81,0.0171
Higd2a,6.7,6.8,0.00795
Ss18,-9.7,6.77,0.00981
Bcl6,-5,6.75,0.00993
Lrrc31,-11.5,6.72,0.000574
Mpg,-4.1,6.71,0.0101
C1qtnf9,-3.7,6.7,0.0102
Olfr916,-7.1,6.69,0.00204
Usp4,-5.1,6.66,0.0104
Xlr,-5.9,6.65,0.0105
Cd72,3.9,6.64,0.00758
Gpr161,-1.8,6.63,0.00762
Itgb4,-5.5,6.63,0.00844
Micall1,-3.3,6.63,0.0186
Ssxb10,-6.5,6.63,0.00212
Gm4736,4.7,6.62,0.000637
Cebpa,-6.1,6.6,0.0107
Abcd4,-3.9,6.58,0.0108
Ugt1a1,-10.4,6.57,0.0109
Gm20877,-5.1,6.54,0.00223
Gm21119,-3.6,6.54,0.00223
Hoxd12,5.2,6.53,0.0196
Cbx5,-3.8,6.47,0.0009
Olfr781,-8.2,6.47,0.00731
Kcnj9,-8.2,6.44,0.00734
Fam149a,-8.1,6.42,0.00738
Krtap1-3,-7.7,6.42,0.00738
Nbea,-4.5,6.42,0.0207
Zfp595,-5.9,6.42,0.0207
Ddt,-6.4,6.41,0.00916
Tmem236,-7.8,6.41,0.0076
Igfl3,-8,6.4,0.0076
Olfr287,-9.1,6.37,0.00763
Bend7,-1.9,6.36,0.00764
Zscan18,7.8,6.35,0.000953
Atad3a,5.6,6.34,0.00946
Robo2,-5.4,6.32,0.0122
Zkscan3,-4.7,6.32,0.0215
Dppa3,-4.3,6.29,0.00282
Gm94,7.2,6.29,0.00769
Lamtor4,3.1,6.29,0.0123
Olfr364-ps1,-9.8,6.27,0.000932
Rdm1,4.6,6.26,0.022
Ankrd61,-5.1,6.25,0.00774
Map2,-3.1,6.25,0.0125
ENSMUSG00000096364,-1.6,6.24,0.00945
Hoxc4,-4.8,6.21,0.0225
Cbfb,-4.7,6.2,0.0128
Mycs,-3,6.2,0.00306
Tmed5,-6.9,6.18,0.01
ENSMUSG00000096266,-4.8,6.15,0.00338
Rps3a1,-3.5,6.12,0.0011
Cdpf1,3.1,6.11,0.0133
Psmg2,-8.7,6.09,0.0134
Tm9sf1,8,6.09,0.00113
Slc16a9,-1.5,6.07,0.0105
Tmc2,-7.2,6.07,0.00791
Flvcr2,1.8,6.06,0.0105
Cxcl11,5.5,6.04,0.00116
Gm973,-6.9,6.04,0.00253
Ak9,8.1,6,0.00278
ENSMUSG00000095415,-10.2,6,0.00121
C2,-5.6,5.99,0.00121
Morc3,-11,5.96,0.00336
Upk2,-3.1,5.95,0.0142
Pdcl2,-3,5.94,0.0256
Gm6509,-3.1,5.92,0.00479
Map3k8,7.1,5.92,0.0258
Rasa1,-3.3,5.92,0.0144
Ckap2l,-11.9,5.91,0.00365
Hgd,7.7,5.91,0.00142
Zfp777,5.6,5.9,0.0261
C1qtnf4,-11.9,5.89,0.00377
Gm26657,-9.7,5.89,0.00134
Slc35f2,-1.3,5.88,0.0117
Ddx54,-7.7,5.87,0.0148
Zfp395,6.2,5.87,0.0265
Olfr809,-3.2,5.86,0.00523
Sh2b3,3.8,5.86,0.0149
Blvrb,7.7,5.85,0.00677
Cabcoco1,-8.8,5.85,0.00819
Ccdc126,-8.3,5.84,0.0041
Cd19,-4.9,5.84,0.015
Gsta4,-3.3,5.83,0.00547
Alb,7.8,5.82,0.00148
Gm5546,-10.9,5.82,0.00144
Ssxb5,-6.5,5.82,0.00557
Alkbh8,4.5,5.81,0.0272
Gfy,6.9,5.81,0.00145
Cbr2,-5.5,5.79,0.00584
Slc26a6,2.8,5.79,0.0124
Zfp524,11,5.78,0.0276
Gdpd1,2.1,5.77,0.0125
Pspn,-10.9,5.77,0.00461
Ighv11-1,-2.8,5.76,0.00151
Olfr536,-5.4,5.75,0.0063
Tgm2,3.8,5.74,0.0157
4933406M09Rik,-9,5.72,0.00665
Dhx30,6.4,5.71,0.0122
Plagl2,-2.9,5.71,0.016
Tead2,-2.7,5.71,0.016
Fmnl1,-5.2,5.69,0.00704
Mmadhc,-7.3,5.69,0.0122
Def6,-4.5,5.68,0.0162
Dirc2,1.2,5.68,0.0132
Gng5,-9.1,5.68,0.0123
S100z,-7.4,5.67,0.00542
Ccnt2,4.7,5.66,0.0163
Lce1i,6.7,5.66,0.00171
Sertad1,7.3,5.66,0.029
1600002K03Rik,1.6,5.65,0.0135
Upf3a,-3.7,5.64,0.0293
Pdk1,7.3,5.63,0.00729
Ankrd66,-7.5,5.62,0.00922
Med13l,8.8,5.59,0.0299
Gm5612,-8.9,5.58,0.00191
Psg26,-6.8,5.58,0.00843
Gnat2,-10.5,5.56,0.00645
Ccdc28a,-6.9,5.55,0.00656
2010109A12Rik,5.5,5.54,0.00203
Gm13288,-4.7,5.54,0.00886
Gm13289,-4.7,5.54,0.00886
Gm13290,-4.7,5.54,0.00886
ENSMUSG00000094376,-4.7,5.54,0.00886
ENSMUSG00000095694,-4.7,5.54,0.00886
ENSMUSG00000095695,-4.7,5.54,0.00886
Gm17174,-4.3,5.52,0.00907
Il1rapl1,4.4,5.52,0.0173
Sirt1,3.3,5.51,0.0174
Spn,-9.8,5.51,0.00696
Trav14-3,-8.3,5.51,0.00211
Trav14n-3,-8.3,5.51,0.00211
BC052040,-4.6,5.5,0.0175
Mier3,3.7,5.5,0.0312
Olfr733,-8.3,5.49,0.0106
Rest,6.2,5.49,0.00207
Vgll1,-3.3,5.48,0.0315
Adgrg5,-1.5,5.47,0.0151
Psmd11,-5.6,5.43,0.0181
Ctla2a,-5.5,5.42,0.00997
Oprl1,7.1,5.41,0.0078
Krtap4-16,-2.8,5.4,0.0135
Pafah1b1,5.4,5.4,0.0183
Ermn,-7.6,5.39,0.0139
Dtd1,10.3,5.38,0.0328
Lrp5,6.5,5.38,0.0185
Plod1,6.9,5.38,0.0079
Xrcc1,-5.9,5.38,0.0185
Il16,-8,5.37,0.0161
Rpl21,-5.2,5.37,0.033
Smim7,2.1,5.37,0.0161
Vamp3,2.4,5.37,0.0186
Armcx4,-2.9,5.36,0.0165
Gm9848,-11.1,5.34,0.00268
AU021092,-2.7,5.33,0.0174
Knop1,-5.3,5.3,0.00901
Nap1l1,-8.5,5.3,0.0192
Aqp1,-5.4,5.29,0.0193
Cebpb,3.3,5.29,0.0193
Acot6,-6.8,5.28,0.0111
Gnrh1,-5.4,5.28,0.0194
Tbc1d7,-5.9,5.28,0.00922
Serpini2,-3.7,5.27,0.0177
Srgap1,-2.7,5.27,0.0177
Gucy2c,-6.2,5.26,0.00826
Gm5415,-4.9,5.25,0.0114
Krt80,-2.6,5.25,0.0179
Abcf3,-3.6,5.24,0.0349
Olfr952,-2.5,5.24,0.0115
Ocstamp,-3.7,5.23,0.018
Reg2,-3.7,5.23,0.018
Rrp36,13.7,5.23,0.035
1700010I14Rik,-2.6,5.22,0.018
Borcs6,-7.2,5.22,0.00982
Bpi,4.5,5.21,0.00842
Olfr1446,5.9,5.21,0.0117
Glrx3,-7.4,5.2,0.0155
Gm10338,-4.4,5.19,0.0119
Gm5795,-4.4,5.19,0.0119
Pcdhb1,-3.3,5.18,0.0182
Rasl12,4.3,5.18,0.0157
Olfr539,-4.9,5.16,0.0121
4921539E11Rik,-5.1,5.15,0.0122
4930447A16Rik,5.3,5.15,0.00354
Magohb,-3.8,5.14,0.0364
Tex38,-2.5,5.14,0.0195
1700021A07Rik,-10.1,5.13,0.00365
A530084C06Rik,4.9,5.13,0.00365
Usf3,5.9,5.13,0.0366
Zfp57,-3.3,5.13,0.0366
Dbp,-6.7,5.12,0.0208
Fst,-9.8,5.12,0.00866
Syt7,-4.1,5.11,0.00232
Gm21956,4.4,5.1,0.00386
Phyhip,-7.7,5.1,0.011
Rnase12,-3,5.1,0.0199
Gm4763,-10.2,5.09,0.00392
Nrf1,7.9,5.09,0.0163
Klf11,9.7,5.08,0.0375
Nucb1,-7.4,5.06,0.0165
Eva1c,-7.1,5.05,0.0208
Mtrf1,-7,5.05,0.0166
Plek,13.2,5.05,0.0381
Rsad1,-5.9,5.05,0.0166
Vmn1r55,-4.9,5.05,0.0129
Mroh6,-5.7,5.02,0.0117
Cisd2,-3.7,5.01,0.0169
Hist1h2ao,-2.7,5.01,0.00257
Tex44,-7.1,5.01,0.0216
Hoxc12,6.5,5,0.0391
Ldb3,-6.9,4.99,0.017
Pak2,3.6,4.98,0.00913
Zfp523,-2.1,4.98,0.0395
Map2k1,5.7,4.96,0.0399
Olfr13,-3.1,4.96,0.0227
1700020N15Rik,-3.8,4.95,0.0136
Gm6812,-3.8,4.95,0.0136
Adat1,-7.2,4.94,0.0174
Gabra5,4,4.94,0.00928
Ifi202b,-3.8,4.94,0.0403
Zbtb25,8.4,4.94,0.0403
Fam221b,-3.1,4.93,0.0253
H1fx,-5.2,4.93,0.0405
Slc25a32,6.1,4.93,0.0175
Rxfp2,-2.9,4.92,0.0267
Sf3b2,-6.3,4.92,0.0227
Szrd1,-7.5,4.92,0.0124
Pgm1,5.2,4.91,0.0227
Olfr686,-7.8,4.9,0.014
Thoc3,-5.3,4.9,0.041
Cdc40,-3.5,4.88,0.0414
Gdpd5,1.8,4.88,0.022
Pcsk6,3.4,4.88,0.023
Tmem140,-3,4.88,0.0322
Tprn,-9,4.88,0.0126
Cdhr5,-3.2,4.87,0.0336
Itih2,-2.7,4.85,0.0353
Spns2,-3.4,4.85,0.0353
Trak2,4.5,4.85,0.0182
Atxn1l,-5.9,4.84,0.0128
Basp1,11.4,4.84,0.0421
Celf5,7.6,4.84,0.0421
Lcn11,-5,4.84,0.0145
Tsta3,-2.7,4.84,0.0233
Sp2,-3.5,4.83,0.0423
Nasp,5.1,4.82,0.0235
Dcdc2b,-10.6,4.8,0.013
Grifin,5.3,4.8,0.0147
Topors,4.5,4.8,0.0237
Vdac3-ps1,-2.7,4.8,0.0237
Gnb5,3.3,4.79,0.0238
Ifnz,-4.7,4.79,0.0148
Egflam,2.8,4.78,0.0239
F830045P16Rik,-6,4.78,0.0149
Pla2g12a,5.7,4.78,0.0188
Smpdl3a,-7.4,4.78,0.0131
AV320801,-4.5,4.77,0.0149
Gm15023,-4.5,4.77,0.0149
Mier2,5.4,4.77,0.0434
Vmn1r235,-4.6,4.77,0.0149
Zfp235,-4.3,4.77,0.0434
Kcnip4,-4.1,4.76,0.0396
Trav12d-1,-4.4,4.76,0.00616
Trav12n-1,-4.4,4.76,0.00616
Cntnap5b,-4,4.75,0.0151
Trav12-2,-4.6,4.75,0.00637
Tbpl2,11.5,4.74,0.044
Zic3,-3,4.74,0.00278
Anks4b,-3.5,4.73,0.0407
Gm19402,4.8,4.73,0.0407
Nlrp2,-6.9,4.72,0.0244
Arfgap1,7.4,4.71,0.0196
Gm765,-4.3,4.71,0.0153
Clec2g,-4.8,4.7,0.0154
Coil,-2.9,4.7,0.0448
Elf3,-2.7,4.7,0.0448
Nsun3,-1.3,4.7,0.0247
Olfr870,-2.7,4.69,0.0154
Chodl,-8.4,4.68,0.0425
D630003M21Rik,-4.2,4.68,0.0425
Fam162b,-3.5,4.68,0.0425
Rps23,-8.4,4.68,0.0199
Serpina1c,-3.4,4.68,0.0137
Tgs1,-2.4,4.68,0.0452
Dusp28,6.8,4.67,0.0454
Zfp936,-9,4.67,0.00694
Stmn1,3,4.66,0.0254
Trps1,-4.1,4.66,0.025
Ankrd35,-2.3,4.65,0.0458
Ccl21b,-4.1,4.65,0.0251
Fbxo30,-4,4.65,0.00289
Gm10591,-4.1,4.65,0.0251
Gm13304,-4.1,4.65,0.0251
Gm21541,-4.1,4.65,0.0251
Olfr160,1.8,4.65,0.0256
Tdrd9,-3.7,4.65,0.0458
ENSMUSG00000060559,-7.7,4.65,0.0071
Necap2,-5.7,4.63,0.0204
Tmem88b,-8.3,4.63,0.0433
Aqr,-4.2,4.62,0.0255
Olfr102,5.8,4.62,0.0436
St7,1.9,4.62,0.0261
Tpbg,4.7,4.62,0.0255
Xrcc6,-4.7,4.62,0.0255
Cd200r4,-2.4,4.61,0.0441
Igkv17-134,-7.7,4.61,0.00745
Zfp715,8.7,4.61,0.0467
Cdc45,-4.2,4.6,0.0257
Clic5,-4.7,4.6,0.0257
ENSMUSG00000094949,-2.9,4.6,0.0159
1700060C20Rik,-3.8,4.59,0.00764
Bcl2l11,2.9,4.59,0.0259
Bod1,-9.3,4.59,0.0259
Rmi2,-3.5,4.59,0.0471
Ccdc50,-6.8,4.58,0.0161
Asl,2.5,4.57,0.0261
Mzt1,-10.7,4.57,0.0145
Vps26a,-6.5,4.56,0.0211
ENSMUSG00000093411,-7.7,4.56,0.0162
1500015O10Rik,-3.7,4.54,0.0477
Tex10,-1.3,4.54,0.0275
Tsn,-7.4,4.54,0.0265
Cstl1,-8.2,4.53,0.0482
Dhx34,4.5,4.53,0.0485
Ighv2-9-1,-7.1,4.53,0.00823
Kcnv2,-3.7,4.53,0.0482
Krtap8-1,-9.6,4.53,0.00823
Endog,2.8,4.52,0.0268
Olfr583,5.4,4.52,0.0165
Prrt1,-4.8,4.52,0.0165
Rem2,-4.2,4.52,0.0487
D230025D16Rik,6.8,4.51,0.0217
Gmfg,-5.8,4.51,0.0149
Tgfbr1,-8.3,4.51,0.0269
Topaz1,-7.2,4.51,0.0489
Acvr2a,3.2,4.5,0.0116
Gm28041,-9.2,4.5,0.00853
Rgs8,-8.2,4.5,0.0492
Fcrl1,-3.7,4.49,0.0495
Naip2,3.7,4.48,0.0272
Olfr372,-4.4,4.47,0.0503
Aqp2,-3.5,4.46,0.00319
Slc16a14,-4.4,4.46,0.0504
Tmem198,-2.3,4.46,0.029
Defb15,-8.6,4.45,0.00902
Tcf3,-7,4.45,0.0275
Otop3,-3.7,4.44,0.0506
Frmpd3,-3.2,4.43,0.00916
Fhl1,3.2,4.42,0.0279
Psg19,5,4.42,0.0511
Gm21142,-6,4.41,0.00931
Psmc6,-5.5,4.41,0.0033
Trub1,-2.2,4.41,0.0513
Krt28,-2.9,4.4,0.052
Lrit2,-3.3,4.4,0.052
Olfr569,-3.1,4.4,0.052
Pomp,3.1,4.4,0.0281
Rhox4e,-5.7,4.4,0.0173
Stxbp5,-5.5,4.4,0.00333
4930590J08Rik,-2.8,4.39,0.052
Gpr151,-2.7,4.39,0.052
Olfr325,2.4,4.38,0.0305
Fancg,4.5,4.37,0.0285
Olfr788,-7.7,4.37,0.0175
Supt7l,-2.5,4.37,0.0523
Taf1a,-4,4.37,0.0285
1810041L15Rik,-2.7,4.36,0.0527
Akap2,-7.7,4.36,0.0286
Ccnf,-7.5,4.36,0.0286
Duoxa2,-2.6,4.36,0.0527
Plekha3,-6.3,4.36,0.0236
Zfp711,4.3,4.36,0.0525
Fam186b,-2.7,4.35,0.0528
Fam217a,-3,4.35,0.0528
Hsbp1l1,-2.3,4.35,0.0528
1700119I11Rik,-6,4.34,0.00986
Aph1c,-2.2,4.34,0.0178
Catsperb,-2.8,4.34,0.0531
Gm6712,6.3,4.34,0.00986
Pih1d3,-3.1,4.34,0.0531
Capza1,6.7,4.33,0.024
Foxj1,3.7,4.33,0.0533
Cetn1,8.4,4.32,0.0536
Gm17669,-9.7,4.32,0.01
Bnc1,5.9,4.31,0.0538
Gm20498,-10.1,4.31,0.0101
Olfr1156,-6.2,4.31,0.0541
Xab2,-7.2,4.31,0.0292
Ajuba,4.1,4.3,0.0293
Myocd,8.2,4.3,0.0541
Treml1,-2.8,4.3,0.0542
Ucp2,-1.8,4.3,0.0293
Gm11596,-6,4.29,0.0544
Zfp597,-2.6,4.29,0.0543
Ppp2r3d,-9.7,4.28,0.0104
Tmem200b,0.9,4.28,0.0325
Dsn1,-3.9,4.27,0.0297
Mettl21a,0.9,4.27,0.0327
Sarnp,-2.6,4.27,0.0549
Gm6526,5,4.26,0.0106
Pdc,6.4,4.26,0.00376
Serpinb3a,-3.8,4.26,0.00376
Ssmem1,-1.6,4.26,0.0329
Thtpa,-5,4.26,0.0298
Zdhhc20,2.8,4.26,0.0329
Repin1,-3.1,4.25,0.0555
Slc5a9,-2.5,4.25,0.056
Zfand5,-3.8,4.25,0.00379
Gng10,4.3,4.24,0.0301
Nudt3,-8,4.24,0.0171
ENSMUSG00000089672,-3.2,4.24,0.0563
Fiz1,-7.5,4.23,0.0303
Mnd1,8.3,4.23,0.056
Olfr1394,-5.2,4.23,0.0186
Morn2,-4.4,4.22,0.0172
Abraxas1,-5.9,4.21,0.0173
BC030500,-4.8,4.21,0.0109
1810055G02Rik,3.8,4.2,0.0343
Cep78,-1.8,4.2,0.0307
Irf5,4.5,4.2,0.0569
Kntc1,-3.4,4.2,0.0307
Pramel3,-4.3,4.2,0.0188
D330045A20Rik,1.1,4.19,0.0345
5031425E22Rik,-10.1,4.18,0.0113
Baz1a,-3.4,4.18,0.00408
Map1lc3b,4.3,4.17,0.00412
Npepps,-3.7,4.17,0.00412
Amph,-6.1,4.16,0.0269
Muc3a,3.4,4.16,0.0313
Rpl35a,6.5,4.16,0.0269
Slc27a4,9.7,4.16,0.0579
Slc5a3,-6.4,4.16,0.0269
Snx3,6.8,4.16,0.0132
Ube2e3,-5.4,4.16,0.0313
ENSMUSG00000022269,-3.6,4.15,0.00441
Myom2,-4.2,4.15,0.0271
Trav14d-3-dv8,-7.1,4.15,0.0115
B3galnt1,-2.5,4.14,0.0585
Odf3l1,-2.2,4.14,0.0587
Katnb1,3.6,4.13,0.0318
Vmn1r230,-5.3,4.13,0.0193
Bcas2,4.7,4.12,0.032
Fam219a,-8.2,4.12,0.0182
Gzf1,11.1,4.12,0.059
Olfr791,-4.7,4.12,0.0595
Wee2,-4.8,4.12,0.032
Igkv3-7,-3.9,4.11,0.0118
Olfr96,-2.4,4.11,0.06
Col4a3bp,-3.8,4.1,0.0047
Ctrb1,-5.3,4.1,0.0047
Batf2,3.5,4.09,0.0599
Calhm2,-2.3,4.09,0.0614
Col25a1,-2.1,4.09,0.0614
Fam109a,1.6,4.09,0.0369
Maats1,-7.1,4.09,0.0281
Olfr55,-2.3,4.09,0.0614
Shisa9,-2.1,4.09,0.0614
Tas2r121,2.9,4.09,0.0369
Traf5,-4.3,4.09,0.0324
Olfr1053,-2.3,4.08,0.0618
Olfr195,-2.1,4.08,0.0618
Pdgfc,6.9,4.08,0.0618
Syt2,-5.6,4.08,0.0186
Vps37a,-3.8,4.08,0.00479
Atg7,-5.5,4.07,0.0328
Gem,-8.8,4.07,0.0187
Tank,4.7,4.07,0.0328
Zfp35,6.9,4.07,0.0197
Ccl21a,-3.9,4.06,0.0329
Cyhr1,1.2,4.06,0.0376
Gamt,2.4,4.06,0.0329
Meikin,-5.7,4.06,0.0188
St6galnac5,-5.3,4.06,0.0607
Slc35f3,2.2,4.05,0.0379
Wnt16,2.6,4.05,0.0332
1500011B03Rik,-7,4.04,0.0124
Lce6a,-8.8,4.04,0.0124
Myadm,2.8,4.04,0.0381
Nkiras1,5.3,4.04,0.029
Plcg2,-4.1,4.04,0.0333
Ptpn1,3.7,4.04,0.0139
ENSMUSG00000050959,-2.6,4.04,0.0199
AA386476,-2.6,4.03,0.0125
Ccdc103,-4,4.03,0.0335
Tspan4,1.8,4.03,0.0384
D630023F18Rik,-2,4.02,0.0635
Slc9a7,-1.2,4.02,0.0386
Gm11273,6.2,4.01,0.0127
Rad50,-7.5,4.01,0.0338
Slc46a2,-5.3,4.01,0.0295
Srsf12,-5.7,4.01,0.0127
Gm8237,6.1,4,0.0127
Necab3,-6.8,4,0.0297
Tex15,2.9,4,0.0625
Zfyve26,-6.7,4,0.0339
Crhr1,-2.1,3.99,0.0646
G6pdx,-4,3.99,0.0341
Gm9938,-6.5,3.99,0.0128
Ndufb9,-9.1,3.99,0.0142
Nipal3,-2.3,3.99,0.0394
Prg4,-3.1,3.99,0.0202
Sema3c,-4.1,3.99,0.0052
E130114P18Rik,-6.4,3.98,0.0129
Fam174b,5.5,3.98,0.065
Pigr,5,3.98,0.0301
Slc25a34,4,3.98,0.0301
Gm5258,-5,3.97,0.013
Olfr323,-3,3.97,0.0654
Rcn2,12.1,3.97,0.0634
Zfp275,5.5,3.97,0.0634
ENSMUSG00000075178,-4.7,3.97,0.0203
Nipa2,1.8,3.96,0.0402
Trav4-4-dv10,-9.5,3.96,0.0131
Zfp664,-2.4,3.96,0.0637
Ccnc,2.4,3.95,0.0348
Cmtr2,-2.4,3.95,0.0405
Rrad,2.7,3.95,0.0348
Sypl,3.2,3.95,0.0307
Mmp1b,-5.4,3.94,0.0205
Synj2bp,-7.2,3.94,0.031
Trappc1,5.6,3.94,0.0144
Zbtb44,3.4,3.94,0.0644
Fam187b,-5.5,3.93,0.0205
Olfr885,-4.7,3.93,0.0205
Prr15,-5,3.93,0.067
Med21,-3.2,3.92,0.0651
Zmym6,-2.2,3.92,0.0651
Agk,-6.5,3.91,0.0315
Gm9844,-2.3,3.91,0.0135
Lrriq1,4.1,3.91,0.0676
Nsl1,-3.5,3.91,0.0356
Necab1,-3.6,3.9,0.0679
Gpha2,-4.2,3.89,0.068
Gpr150,3.7,3.89,0.068
Slco4a1,0.8,3.89,0.0422
Brat1,-4.8,3.88,0.0362
