Gene,Symbol,casTLE_Effect,casTLE_Score,pvalue,Logpvalue
ENSMUSG00000032561,Acpp,-8.1,0.14,0.502,0.299296283
ENSMUSG00000072770,Acrbp,0.3,0.189,0.536,0.27083521
ENSMUSG00000032281,Acsbg1,0,0,0.594,0.226213555
ENSMUSG00000018796,Acsl1,0,0,0.766,0.11577123
ENSMUSG00000032883,Acsl3,-4.5,1.5,0.174,0.759450752
ENSMUSG00000031278,Acsl4,-8.2,0.95,0.264,0.578396073
ENSMUSG00000020333,Acsl6,0,0,0.594,0.226213555
ENSMUSG00000027452,Acss1,0,0,0.594,0.226213555
ENSMUSG00000027605,Acss2,2.1,1.7,0.149,0.826813732
ENSMUSG00000031972,Acta1,0,0,0.766,0.11577123
ENSMUSG00000035783,Acta2,-0.2,0.0378,0.489,0.310691141
ENSMUSG00000062825,Actg1,0,0,0.594,0.226213555
ENSMUSG00000029712,Actl6b,0,0,0.594,0.226213555
ENSMUSG00000020152,Actr2,0,0,0.766,0.11577123
ENSMUSG00000026341,Actr3,0,0,0.594,0.226213555
ENSMUSG00000056367,Actr3b,0.1,0.0113,0.552,0.258060922
ENSMUSG00000015971,Actr8,0,0,0.594,0.226213555
ENSMUSG00000026836,Acvr1,3.3,2,0.108,0.966576245
ENSMUSG00000000532,Acvr1b,0,0,0.766,0.11577123
ENSMUSG00000026834,Acvr1c,0,0,0.766,0.11577123
ENSMUSG00000052155,Acvr2a,1.8,1.05,0.246,0.609064893
ENSMUSG00000061393,Acvr2b,-4.9,2.55,0.0624,1.20481541
ENSMUSG00000000530,Acvrl1,0,0,0.766,0.11577123
ENSMUSG00000023262,Acy1,-0.2,0.00936,0.711,0.148130399
ENSMUSG00000024866,Acy3,0,0,0.766,0.11577123
ENSMUSG00000008822,Acyp1,0,0,0.594,0.226213555
ENSMUSG00000060923,Acyp2,0,0,0.766,0.11577123
ENSMUSG00000017697,Ada,0,0,0.594,0.226213555
ENSMUSG00000027719,Adad1,0.5,0.0641,0.453,0.343901798
ENSMUSG00000024266,Adad2,-0.2,0.0295,0.653,0.185086819
ENSMUSG00000054555,Adam12,1.8,2.45,0.0649,1.187755303
ENSMUSG00000028041,Adam15,0,0,0.594,0.226213555
ENSMUSG00000052593,Adam17,0.1,0.000473,0.592,0.227678293
ENSMUSG00000011256,Adam19,-0.2,0.0691,0.446,0.350665141
ENSMUSG00000040537,Adam22,0,0,0.594,0.226213555
ENSMUSG00000025964,Adam23,0,0,0.594,0.226213555
ENSMUSG00000071937,Adam25,-0.9,1.27,0.111,0.954677021
ENSMUSG00000014725,Adam28,2.1,1.27,0.111,0.954677021
ENSMUSG00000027318,Adam33,0,0,0.766,0.11577123
ENSMUSG00000047497,Adamts12,0,0,0.594,0.226213555
ENSMUSG00000022449,Adamts20,0,0,0.594,0.226213555
ENSMUSG00000022894,Adamts5,3.8,3.67,0.0462,1.335358024
ENSMUSG00000066113,Adamtsl1,2.8,1.65,0.0889,1.051098239
ENSMUSG00000070469,Adamtsl3,2.3,1.48,0.0971,1.01278077
ENSMUSG00000043822,Adamtsl5,2.2,2.29,0.0682,1.166215625
ENSMUSG00000056413,Adap1,-0.2,0.0272,0.658,0.181774106
ENSMUSG00000027951,Adar,0,0,0.594,0.226213555
ENSMUSG00000020262,Adarb1,0,0,0.72,0.142667504
ENSMUSG00000021044,Adck1,-0.3,0.0278,0.652,0.185752404
ENSMUSG00000046947,Adck2,-0.3,0.0363,0.633,0.19859629
ENSMUSG00000022550,Adck5,-7.5,0.519,0.338,0.4710833
ENSMUSG00000020431,Adcy1,0,0,0.594,0.226213555
ENSMUSG00000026567,Adcy10,0,0,0.594,0.226213555
ENSMUSG00000021536,Adcy2,0.6,0.106,0.406,0.391473966
ENSMUSG00000020654,Adcy3,0.6,0.283,0.27,0.568636236
ENSMUSG00000022220,Adcy4,1,0.116,0.389,0.410050399
ENSMUSG00000022840,Adcy5,-0.3,0.128,0.375,0.425968732
ENSMUSG00000022994,Adcy6,0,0,0.594,0.226213555
ENSMUSG00000031659,Adcy7,0,0,0.594,0.226213555
ENSMUSG00000022376,Adcy8,0,0,0.594,0.226213555
ENSMUSG00000005580,Adcy9,0.3,0.0241,0.52,0.283996656
ENSMUSG00000024256,Adcyap1,-0.3,0.0796,0.431,0.36552273
ENSMUSG00000029106,Add1,0.7,0.138,0.365,0.437707136
ENSMUSG00000025475,Adgra1,4.3,1.49,0.251,0.600326279
ENSMUSG00000034730,Adgrb1,-0.3,0.0934,0.418,0.378823718
ENSMUSG00000033569,Adgrb3,0.5,0.239,0.29,0.537602002
ENSMUSG00000002885,Adgre5,0.2,0.0238,0.664,0.177831921
ENSMUSG00000053852,Adgrg4,0,0,0.594,0.226213555
ENSMUSG00000037605,Adgrl3,0.3,0.0429,0.482,0.316952962
ENSMUSG00000074207,Adh1,-6.2,0.906,0.269,0.57024772
ENSMUSG00000037797,Adh4,-0.4,0.383,0.48,0.318758763
ENSMUSG00000028138,Adh5,1.4,0.254,0.431,0.36552273
ENSMUSG00000055301,Adh7,0.1,0.00957,0.558,0.253365801
ENSMUSG00000025911,Adhfe1,0,0,0.594,0.226213555
ENSMUSG00000039197,Adk,0,0,0.766,0.11577123
ENSMUSG00000030790,Adm,0,0,0.594,0.226213555
ENSMUSG00000054136,Adm2,0.5,0.255,0.282,0.549750892
ENSMUSG00000051149,Adnp,-4,1.21,0.314,0.503070352
ENSMUSG00000053950,Adnp2,0,0,0.72,0.142667504
ENSMUSG00000042429,Adora1,0.5,0.191,0.466,0.331614083
ENSMUSG00000020178,Adora2a,0.6,0.16,0.488,0.311580178
ENSMUSG00000018500,Adora2b,-7.9,0.0514,0.606,0.217527376
ENSMUSG00000000562,Adora3,-0.6,0.441,0.357,0.447331784
ENSMUSG00000031448,Adprhl1,1.6,2.01,0.0752,1.123782159
ENSMUSG00000045875,Adra1a,2.7,1.14,0.229,0.640164518
ENSMUSG00000050541,Adra1b,-0.8,0.362,0.382,0.417936637
ENSMUSG00000027335,Adra1d,-0.3,0.0413,0.624,0.20481541
ENSMUSG00000033717,Adra2a,1.1,0.246,0.435,0.361510743
ENSMUSG00000058620,Adra2b,0,0,0.766,0.11577123
ENSMUSG00000045318,Adra2c,-7.3,0.203,0.461,0.336299075
ENSMUSG00000035283,Adrb1,0.8,0.238,0.438,0.358525889
ENSMUSG00000045730,Adrb2,0,0,0.766,0.11577123
ENSMUSG00000031489,Adrb3,-7.4,1.97,0.114,0.943095149
ENSMUSG00000015961,Adss,0,0,0.594,0.226213555
ENSMUSG00000011148,Adssl1,-3.1,0.811,0.282,0.549750892
ENSMUSG00000030232,Aebp2,-0.4,0.246,0.516,0.287350298
ENSMUSG00000054452,Aes,0.2,0.0348,0.645,0.190440285
ENSMUSG00000025083,Afap1l2,0,0,0.594,0.226213555
ENSMUSG00000068036,Afdn,0,0,0.594,0.226213555
ENSMUSG00000029313,Aff1,-0.5,0.262,0.278,0.555955204
ENSMUSG00000037138,Aff3,0,0,0.594,0.226213555
ENSMUSG00000049470,Aff4,0.7,0.175,0.329,0.482804102
ENSMUSG00000024527,Afg3l2,0,0,0.766,0.11577123
ENSMUSG00000017718,Afmid,0,0,0.594,0.226213555
ENSMUSG00000054932,Afp,0,0,0.594,0.226213555
ENSMUSG00000025422,Agap2,0.9,0.675,0.176,0.754487332
ENSMUSG00000029722,Agfg2,0.8,0.0338,0.498,0.302770657
ENSMUSG00000021681,Aggf1,0,0,0.72,0.142667504
ENSMUSG00000041530,Ago1,0.7,0.901,0.376,0.424812155
ENSMUSG00000036698,Ago2,-1.1,1.91,0.168,0.774690718
ENSMUSG00000028842,Ago3,-0.5,0.0923,0.588,0.230622674
ENSMUSG00000042500,Ago4,1.8,2.87,0.103,0.987162775
ENSMUSG00000026922,Agpat2,0,0,0.594,0.226213555
ENSMUSG00000001211,Agpat3,-9,2.37,0.0744,1.128427064
ENSMUSG00000020581,Agr2,0,0,0.594,0.226213555
ENSMUSG00000041936,Agrn,0,0,0.72,0.142667504
ENSMUSG00000031980,Agt,-0.3,0.171,0.332,0.478861916
ENSMUSG00000049115,Agtr1a,2.4,2.37,0.0744,1.128427064
ENSMUSG00000068122,Agtr2,0.6,0.166,0.482,0.316952962
ENSMUSG00000026272,Agxt,-7.5,0.114,0.527,0.278189385
ENSMUSG00000089678,Agxt2,-0.4,0.071,0.575,0.240332155
ENSMUSG00000026491,Ahctf1,0,0,0.72,0.142667504
ENSMUSG00000029772,Ahcyl2,-0.4,0.238,0.29,0.537602002
ENSMUSG00000037692,Ahdc1,-0.2,0.267,0.51,0.292429824
ENSMUSG00000069833,Ahnak,0,0,0.594,0.226213555
ENSMUSG00000019256,Ahr,0.4,0.112,0.394,0.404503778
ENSMUSG00000021575,Ahrr,-1,1.55,0.235,0.628932138
ENSMUSG00000050812,AI314180,1.4,0.508,0.205,0.688246139
ENSMUSG00000040627,Aicda,0,0,0.594,0.226213555
ENSMUSG00000024397,Aif1,0,0,0.594,0.226213555
ENSMUSG00000020085,Aifm2,0,0,0.594,0.226213555
ENSMUSG00000028029,Aimp1,-1.3,2.13,0.144,0.841637508
ENSMUSG00000000731,Aire,0,0,0.72,0.142667504
ENSMUSG00000022178,Ajuba,1.3,0.535,0.2,0.698970004
ENSMUSG00000026817,Ak1,-0.1,0.00132,0.761,0.118615343
ENSMUSG00000028792,Ak2,0,0,0.766,0.11577123
ENSMUSG00000024782,Ak3,0.3,0.0448,0.617,0.209714836
ENSMUSG00000028527,Ak4,0,0,0.766,0.11577123
ENSMUSG00000039058,Ak5,-8,1.2,0.219,0.659555885
ENSMUSG00000041323,Ak7,2.2,1.98,0.113,0.946921557
ENSMUSG00000026807,Ak8,3.7,2.11,0.0948,1.023191663
ENSMUSG00000018428,Akap1,0,0,0.766,0.11577123
ENSMUSG00000047804,Akap10,-2.8,2.23,0.0845,1.073143291
ENSMUSG00000022016,Akap11,0,0,0.766,0.11577123
ENSMUSG00000038587,Akap12,-0.1,0.00608,0.726,0.139063379
ENSMUSG00000066406,Akap13,0,0,0.766,0.11577123
ENSMUSG00000036551,Akap14,0,0,0.766,0.11577123
ENSMUSG00000038729,Akap2,0,0,0.594,0.226213555
ENSMUSG00000030344,Akap3,2.4,0.517,0.339,0.469800302
ENSMUSG00000050089,Akap4,-4.4,0.481,0.347,0.459670525
ENSMUSG00000021057,Akap5,-0.3,0.0704,0.577,0.238824187
ENSMUSG00000061603,Akap6,0,0,0.766,0.11577123
ENSMUSG00000039166,Akap7,2.7,0.434,0.359,0.444905551
ENSMUSG00000024045,Akap8,-0.5,0.227,0.443,0.353596274
ENSMUSG00000002625,Akap8l,1,0.216,0.451,0.345823458
ENSMUSG00000039158,Akna,0,0,0.72,0.142667504
ENSMUSG00000036500,Akp3,0,0,0.766,0.11577123
ENSMUSG00000028692,Akr1a1,0.7,0.0702,0.577,0.238824187
ENSMUSG00000001642,Akr1b3,-0.3,0.023,0.662,0.179142011
ENSMUSG00000029762,Akr1b8,-2.2,1.56,0.166,0.779891912
ENSMUSG00000021214,Akr1c18,0.7,0.214,0.302,0.519993057
ENSMUSG00000021207,Akr1c21,0.8,0.228,0.295,0.530177984
ENSMUSG00000021210,Akr1c6,1.2,0.943,0.143,0.844663963
ENSMUSG00000038641,Akr1d1,0,0,0.594,0.226213555
ENSMUSG00000001729,Akt1,-5,7.51,0.00524,2.280668713
ENSMUSG00000004056,Akt2,0,0,0.766,0.11577123
ENSMUSG00000019699,Akt3,3.1,1.18,0.119,0.924453039
ENSMUSG00000031667,Aktip,0,0,0.72,0.142667504
ENSMUSG00000028393,Alad,0,0,0.594,0.226213555
ENSMUSG00000032786,Alas1,0,0,0.766,0.11577123
ENSMUSG00000025270,Alas2,2.2,1.27,0.208,0.681936665
ENSMUSG00000022636,Alcam,0,0,0.594,0.226213555
ENSMUSG00000025007,Aldh18a1,0,0,0.766,0.11577123
ENSMUSG00000053279,Aldh1a1,0,0,0.594,0.226213555
ENSMUSG00000013584,Aldh1a2,-3.6,4.51,0.0203,1.692503962
ENSMUSG00000015134,Aldh1a3,0,0,0.594,0.226213555
ENSMUSG00000024747,Aldh1a7,0,0,0.72,0.142667504
ENSMUSG00000035561,Aldh1b1,-0.5,0.138,0.504,0.297569464
ENSMUSG00000030088,Aldh1l1,-0.1,0.00803,0.717,0.144480844
ENSMUSG00000029455,Aldh2,0,0,0.594,0.226213555
ENSMUSG00000019102,Aldh3a1,-0.1,0.0216,0.665,0.177178355
ENSMUSG00000010025,Aldh3a2,0,0,0.766,0.11577123
ENSMUSG00000024885,Aldh3b1,-7.8,0.629,0.313,0.504455662
ENSMUSG00000028737,Aldh4a1,0,0,0.766,0.11577123
ENSMUSG00000035936,Aldh5a1,-0.1,0.00014,0.766,0.11577123
ENSMUSG00000021238,Aldh6a1,0,0,0.594,0.226213555
ENSMUSG00000053644,Aldh7a1,0,0,0.594,0.226213555
ENSMUSG00000026687,Aldh9a1,-0.9,0.421,0.363,0.440093375
ENSMUSG00000030695,Aldoa,0,0,0.594,0.226213555
ENSMUSG00000028307,Aldob,0,0,0.594,0.226213555
ENSMUSG00000017390,Aldoc,0,0,0.594,0.226213555
ENSMUSG00000035845,Alg12,-0.4,0.149,0.355,0.449771647
ENSMUSG00000055471,Alk,-6.4,0.811,0.282,0.549750892
ENSMUSG00000044339,Alkbh2,-8.7,21,0.0101,1.995678626
ENSMUSG00000040174,Alkbh3,0,0,0.594,0.226213555
ENSMUSG00000025899,Alkbh8,5.1,2.94,0.101,0.995678626
ENSMUSG00000020636,Allc,0,0,0.766,0.11577123
ENSMUSG00000063810,Alms1,-0.5,0.461,0.216,0.665546249
ENSMUSG00000000320,Alox12,-0.1,0.031,0.504,0.297569464
ENSMUSG00000018924,Alox15,0.6,0.161,0.344,0.463441557
ENSMUSG00000025701,Alox5,0,0,0.766,0.11577123
ENSMUSG00000020891,Alox8,0.3,0.00903,0.559,0.252588192
ENSMUSG00000020892,Aloxe3,0,0,0.594,0.226213555
ENSMUSG00000079440,Alpi,0.7,0.153,0.351,0.454692884
ENSMUSG00000028028,Alpk1,0,0,0.766,0.11577123
ENSMUSG00000032845,Alpk2,-0.1,0.00495,0.731,0.136082623
ENSMUSG00000038763,Alpk3,0,0,0.766,0.11577123
ENSMUSG00000028766,Alpl,5.6,4.1,0.0251,1.600326279
ENSMUSG00000026246,Alppl2,-4.1,2.7,0.0553,1.257274869
ENSMUSG00000026024,Als2,0,0,0.594,0.226213555
ENSMUSG00000036602,Alx1,-4.9,1.01,0.357,0.447331784
ENSMUSG00000014603,Alx3,0,0,0.72,0.142667504
ENSMUSG00000040310,Alx4,1.8,1.4,0.274,0.562249437
ENSMUSG00000028356,Ambp,0,0,0.594,0.226213555
ENSMUSG00000075232,Amd1,-0.2,0.085,0.425,0.37161107
ENSMUSG00000063953,Amd2,0,0,0.594,0.226213555
ENSMUSG00000050332,Amer1,-0.4,0.129,0.373,0.428291168
ENSMUSG00000021986,Amer2,0,0,0.594,0.226213555
ENSMUSG00000031751,Amfr,1.2,1.34,0.106,0.974694135
ENSMUSG00000035262,Amh,-0.4,0.148,0.356,0.448550002
ENSMUSG00000023047,Amhr2,-0.3,0.0687,0.579,0.237321436
ENSMUSG00000021278,Amn,1.2,0.399,0.371,0.43062609
ENSMUSG00000070385,Ampd1,1,0.392,0.235,0.628932138
ENSMUSG00000027889,Ampd2,0,0,0.594,0.226213555
ENSMUSG00000005686,Ampd3,0.6,0.118,0.387,0.412289035
ENSMUSG00000032607,Amt,0.2,0.0108,0.707,0.150580586
ENSMUSG00000074264,Amy1,-0.8,0.21,0.454,0.342944147
ENSMUSG00000014355,Anapc1,0,0,0.594,0.226213555
ENSMUSG00000035048,Anapc13,0.3,0.102,0.41,0.387216143
ENSMUSG00000026965,Anapc2,-0.3,0.0702,0.445,0.351639989
ENSMUSG00000029176,Anapc4,1.2,0.623,0.184,0.735182177
ENSMUSG00000029472,Anapc5,0,0,0.594,0.226213555
ENSMUSG00000029466,Anapc7,0.6,0.145,0.36,0.443697499
ENSMUSG00000072115,Ang,-0.3,0.179,0.326,0.4867824
ENSMUSG00000021257,Angel1,0,0,0.594,0.226213555
ENSMUSG00000022309,Angpt1,0,0,0.594,0.226213555
ENSMUSG00000031465,Angpt2,-0.4,0.249,0.285,0.54515514
ENSMUSG00000033544,Angptl1,0.2,0.02,0.527,0.278189385
ENSMUSG00000004105,Angptl2,0,0,0.72,0.142667504
ENSMUSG00000039342,Ankar,-2.6,1.8,0.184,0.735182177
ENSMUSG00000074771,Ankef1,0,0,0.72,0.142667504
ENSMUSG00000024483,Ankhd1,0,0,0.72,0.142667504
ENSMUSG00000032257,Ankk1,-0.6,0.184,0.469,0.328827157
ENSMUSG00000021661,Ankra2,2,2.74,0.108,0.966576245
ENSMUSG00000024803,Ankrd1,0,0,0.72,0.142667504
ENSMUSG00000031508,Ankrd10,0,0,0.72,0.142667504
ENSMUSG00000047909,Ankrd16,-0.2,0.0768,0.6,0.22184875
ENSMUSG00000055204,Ankrd17,-0.3,0.228,0.522,0.282329497
ENSMUSG00000024774,Ankrd22,0.1,0.00578,0.705,0.151810883
ENSMUSG00000047034,Ankrd33,1.5,1.12,0.334,0.476253533
ENSMUSG00000022237,Ankrd33b,-1.5,4.56,0.0432,1.364516253
ENSMUSG00000045034,Ankrd34b,0.5,0.373,0.482,0.316952962
ENSMUSG00000038354,Ankrd35,-6.2,2.01,0.156,0.806875402
ENSMUSG00000041343,Ankrd42,-5,1.02,0.355,0.449771647
ENSMUSG00000052331,Ankrd44,-0.6,0.97,0.364,0.438898616
ENSMUSG00000044835,Ankrd45,-0.9,1.33,0.29,0.537602002
ENSMUSG00000048307,Ankrd46,0,0,0.72,0.142667504
ENSMUSG00000031931,Ankrd49,0,0,0.72,0.142667504
ENSMUSG00000033055,Ankrd54,0.6,0.349,0.488,0.311580178
ENSMUSG00000049985,Ankrd55,-0.1,0.0157,0.682,0.166215625
ENSMUSG00000040183,Ankrd6,-0.1,0.000177,0.72,0.142667504
ENSMUSG00000029517,Ankrd7,0,0,0.72,0.142667504
ENSMUSG00000058589,Anks1b,-0.6,0.453,0.465,0.332547047
ENSMUSG00000022515,Anks3,0.7,1.17,0.323,0.490797478
ENSMUSG00000026199,Ankzf1,-2.1,3.51,0.0807,1.093126465
ENSMUSG00000036777,Anln,-0.5,0.291,0.267,0.573488739
ENSMUSG00000074968,Ano3,-0.4,0.0853,0.425,0.37161107
ENSMUSG00000039062,Anpep,0,0,0.594,0.226213555
ENSMUSG00000024659,Anxa1,0,0,0.594,0.226213555
ENSMUSG00000031635,Anxa10,-2.2,2.69,0.109,0.962573502
ENSMUSG00000032231,Anxa2,-3.8,1.25,0.211,0.675717545
ENSMUSG00000029484,Anxa3,-6.9,0.288,0.412,0.385102784
ENSMUSG00000029994,Anxa4,0.7,0.232,0.293,0.53313238
ENSMUSG00000027712,Anxa5,-5.1,1.29,0.205,0.688246139
ENSMUSG00000078651,Aoc2,0.2,0.0134,0.542,0.266000713
ENSMUSG00000019326,Aoc3,-0.5,0.499,0.207,0.684029655
ENSMUSG00000039623,Ap5z1,0.7,0.538,0.448,0.348721986
ENSMUSG00000019979,Apaf1,-0.4,0.115,0.39,0.408935393
ENSMUSG00000037032,Apbb1,0,0,0.594,0.226213555
ENSMUSG00000026786,Apbb1ip,1.5,0.668,0.177,0.752026734
ENSMUSG00000029207,Apbb2,0.6,0.00334,0.579,0.237321436
ENSMUSG00000005871,Apc,0,0,0.594,0.226213555
ENSMUSG00000020135,Apc2,1.2,1.13,0.124,0.906578315
ENSMUSG00000025269,Apex2,-0.4,0.199,0.312,0.505845406
ENSMUSG00000027193,Api5,0,0,0.594,0.226213555
ENSMUSG00000030051,Aplf,0,0,0.594,0.226213555
ENSMUSG00000044338,Aplnr,1.3,1.21,0.116,0.935542011
ENSMUSG00000031996,Aplp2,-0.1,0.0332,0.647,0.189095719
ENSMUSG00000040694,Apobec2,-1.1,1.54,0.238,0.623423043
ENSMUSG00000009585,Apobec3,-0.9,1.21,0.314,0.503070352
ENSMUSG00000055547,Apobec4,0.1,0.00259,0.582,0.235077015
ENSMUSG00000022548,Apod,0,0,0.594,0.226213555
ENSMUSG00000002985,Apoe,0.8,0.0954,0.545,0.263603498
ENSMUSG00000000049,Apoh,3.7,0.967,0.261,0.583359493
ENSMUSG00000051716,Apon,0,0,0.766,0.11577123
ENSMUSG00000022892,App,0,0,0.594,0.226213555
ENSMUSG00000040760,Appl1,0,0,0.594,0.226213555
ENSMUSG00000020263,Appl2,0,0,0.594,0.226213555
ENSMUSG00000006589,Aprt,-5.7,3.28,0.039,1.408935393
ENSMUSG00000028411,Aptx,0,0,0.594,0.226213555
ENSMUSG00000004655,Aqp1,-0.1,0.00845,0.561,0.251037139
ENSMUSG00000040383,Aqr,0,0,0.594,0.226213555
ENSMUSG00000046532,Ar,0,0,0.594,0.226213555
ENSMUSG00000001127,Araf,-1.8,1.04,0.247,0.607303047
ENSMUSG00000032812,Arap1,-6.9,20.8,0.0103,1.987162775
